,TRANSAKT,PRICE UNIT,SEASON,TIME,"GDP, BILLIONS OF DKK",YEAR,QUARTER
746,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2007Q1,456.1,2007,1
747,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2007Q2,467.8,2007,2
748,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2007Q3,465.6,2007,3
749,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2007Q4,489.5,2007,4
750,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2008Q1,459.5,2008,1
751,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2008Q2,475.6,2008,2
752,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2008Q3,463.6,2008,3
753,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2008Q4,470.6,2008,4
754,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2009Q1,439.4,2009,1
755,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2009Q2,442.4,2009,2
756,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2009Q3,439.5,2009,3
757,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2009Q4,456.3,2009,4
758,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2010Q1,435.5,2010,1
759,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2010Q2,452.6,2010,2
760,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2010Q3,453.5,2010,3
761,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2010Q4,469.4,2010,4
762,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2011Q1,446.9,2011,1
763,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2011Q2,462.9,2011,2
764,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2011Q3,452.7,2011,3
765,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2011Q4,472.7,2011,4
766,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2012Q1,449.4,2012,1
767,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2012Q2,461.2,2012,2
768,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2012Q3,456.7,2012,3
769,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2012Q4,472.1,2012,4
770,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2013Q1,448.4,2013,1
771,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2013Q2,467.6,2013,2
772,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2013Q3,462.1,2013,3
773,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2013Q4,478.4,2013,4
774,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2014Q1,456.4,2014,1
775,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2014Q2,469.9,2014,2
776,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2014Q3,471.4,2014,3
777,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2014Q4,488.8,2014,4
778,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2015Q1,466.4,2015,1
779,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2015Q2,483.9,2015,2
780,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2015Q3,476.0,2015,3
781,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2015Q4,490.5,2015,4
782,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2016Q1,469.4,2016,1
783,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2016Q2,495.3,2016,2
784,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2016Q3,484.8,2016,3
785,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2016Q4,504.9,2016,4
786,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2017Q1,493.6,2017,1
787,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2017Q2,504.2,2017,2
788,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2017Q3,489.7,2017,3
789,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2017Q4,511.5,2017,4
790,B.1*g Gross domestic product,"2010-prices, chained values, (bill. DKK.)",Non-seasonally adjusted,2018Q1,486.7,2018,1
