LAU2 Code;National Code;LAU2 name;LAU2 name LATIN;NUTS-3;NUTS-3 LATIN
DK7025;7025;Johannes Døbers;Johannes Døbers;DK011 - Byen København;null
DK7057;7057;Hyltebjerg;Hyltebjerg;DK011 - Byen København;null
DK7068;7068;Brønshøj;Brønshøj;DK011 - Byen København;null
DK7103;7103;Solbjerg;Solbjerg;DK011 - Byen København;null
DK7111;7111;Gentofte;Gentofte;DK012 - Københavns omegn;null
DK7116;7116;Skovshoved;Skovshoved;DK012 - Københavns omegn;null
DK7117;7117;Hellerup;Hellerup;DK012 - Københavns omegn;null
DK7119;7119;Kongens Lyngby;Kongens Lyngby;DK012 - Københavns omegn;null
DK7120;7120;Christians;Christians;DK012 - Københavns omegn;null
DK7121;7121;Virum;Virum;DK012 - Københavns omegn;null
DK7126;7126;Vedbæk;Vedbæk;DK013 - Nordsjælland;null
DK7127;7127;Ny Holte;Ny Holte;DK013 - Nordsjælland;null
DK7128;7128;Gammel Holte;Gammel Holte;DK013 - Nordsjælland;null
DK7129;7129;Nærum;Nærum;DK013 - Nordsjælland;null
DK7131;7131;Søborggård;Søborggård;DK012 - Københavns omegn;null
DK7133;7133;Stengård;Stengård;DK012 - Københavns omegn;null
DK7135;7135;Herlev;Herlev;DK012 - Københavns omegn;null
DK7137;7137;Rødovre;Rødovre;DK012 - Københavns omegn;null
DK7141;7141;Hvidovre;Hvidovre;DK012 - Københavns omegn;null
DK7144;7144;Brøndbyvester;Brøndbyvester;DK012 - Københavns omegn;null
DK7147;7147;Glostrup;Glostrup;DK012 - Københavns omegn;null
DK7149;7149;Vallensbæk;Vallensbæk;DK012 - Københavns omegn;null
DK7151;7151;Ishøj;Ishøj;DK012 - Københavns omegn;null
DK7152;7152;Høje Taastrup;Høje Taastrup;DK012 - Københavns omegn;null
DK7153;7153;Taastrup Nykirke;Taastrup Nykirke;DK012 - Københavns omegn;null
DK7154;7154;Værløse;Værløse;DK013 - Nordsjælland;null
DK7156;7156;Roskilde Domsogn;Roskilde Domsogn;DK021 - Østsjælland;null
DK7169;7169;Jyllinge;Jyllinge;DK021 - Østsjælland;null
DK7172;7172;Allerslev;Allerslev;DK021 - Østsjælland;null
DK7173;7173;Kirke Hvalsø;Kirke Hvalsø;DK021 - Østsjælland;null
DK7175;7175;Kirke Såby;Kirke Såby;DK021 - Østsjælland;null
DK7179;7179;Kirke Hyllinge;Kirke Hyllinge;DK021 - Østsjælland;null
DK7186;7186;Smørum;Smørum;DK013 - Nordsjælland;null
DK7187;7187;Ballerup;Ballerup;DK012 - Københavns omegn;null
