sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-27;57,10;57,30;58,00;58,00;56,70;57,00;57,092;400024;22837889,66;1323;
2018-08-24;57,50;57,60;59,10;59,10;56,60;57,60;57,323;887289;50861932,66;2237;
2018-08-23;58,70;59,00;62,80;62,90;58,40;58,90;59,897;867186;51943960,96;2319;
2018-08-22;61,80;62,00;62,50;62,50;61,50;61,90;61,977;236552;14661376,37;682;
2018-08-21;61,80;61,90;61,60;62,60;61,30;61,70;62,092;316437;19647790,79;1107;
2018-08-20;61,50;61,60;65,40;65,40;61,30;61,50;62,826;583456;36651209,47;1592;
2018-08-17;65,90;66,10;66,80;67,20;65,70;66,00;66,328;159322;10567870,65;589;
2018-08-16;66,80;67,00;65,00;67,10;65,00;66,90;66,342;272249;18061327,7;915;
2018-08-15;64,90;65,20;65,10;65,40;64,30;65,00;64,942;134664;8745724,92;570;
2018-08-14;65,10;65,30;64,40;65,80;64,40;65,10;65,227;237247;15474675,3;734;
2018-08-13;64,80;65,00;64,40;65,00;63,50;64,70;64,149;123691;7935266,6;423;
2018-08-10;64,10;64,30;65,00;65,10;64,00;64,10;64,409;118249;7617130,5;419;
2018-08-09;65,00;65,10;65,60;65,60;64,70;65,10;65,174;85460;5569749,12;361;
2018-08-08;65,30;65,50;63,90;65,50;63,80;65,50;64,815;219735;14241716,91;804;
2018-08-07;63,80;64,00;65,90;65,90;63,70;63,80;64,294;254395;16357806,21;826;
2018-08-06;65,40;65,70;65,90;66,00;65,00;65,40;65,416;93784;6134399,8;420;
2018-08-03;65,80;66,00;66,20;66,50;65,80;65,90;66,126;73737;4876439,3;288;
2018-08-02;66,00;66,10;66,50;66,60;66,00;66,30;66,326;153553;10184516,08;411;
2018-08-01;66,40;66,60;66,40;66,70;66,40;66,50;66,546;62774;4177696,95;299;
2018-07-31;66,30;66,40;66,10;66,70;66,00;66,20;66,206;130176;8618550,6;393;
2018-07-30;66,10;66,20;66,20;66,50;66,00;66,00;66,122;87661;5796088,85;310;
2018-07-27;66,20;66,40;66,40;66,40;65,90;66,20;66,122;57185;3781490,14;281;
2018-07-26;66,10;66,20;66,20;66,40;65,90;66,10;66,117;167445;11066099,96;393;
2018-07-25;66,00;66,10;65,70;66,30;65,70;66,00;66,047;125257;8273061,38;430;
2018-07-24;66,30;66,40;65,60;66,70;65,60;66,20;66,351;93682;6216069,24;349;
2018-07-23;66,00;66,20;66,70;66,70;65,90;66,20;66,154;145951;9656282,38;458;
2018-07-20;66,30;66,50;67,20;67,20;66,10;66,40;66,526;193895;12899884,9;580;
2018-07-19;66,80;67,10;67,10;67,50;66,40;67,00;66,961;142002;9509228,24;553;
2018-07-18;66,70;66,80;66,50;67,50;66,40;66,70;66,824;196081;13102808,71;573;
2018-07-17;66,30;66,40;65,90;66,40;65,50;66,40;66,123;151729;10032532,6;489;
2018-07-16;65,50;65,80;65,40;65,90;65,40;65,60;65,642;111307;7306224,56;409;
2018-07-13;65,50;65,60;66,00;66,10;65,20;65,50;65,583;160873;10550251,66;549;
2018-07-12;65,60;65,80;64,70;65,90;64,00;65,80;65,336;204767;13378397,64;648;
2018-07-11;64,30;64,50;64,50;64,60;63,50;64,50;64,137;192443;12341149,66;611;
2018-07-10;64,50;64,70;64,40;65,00;64,30;64,70;64,736;120330;7790543,36;391;
2018-07-09;64,20;64,50;63,80;64,50;63,80;64,40;64,222;138700;8907530,4;387;
2018-07-06;63,30;63,50;63,50;63,90;62,50;63,50;63,492;136375;8660362,75;531;
2018-07-05;63,20;63,40;63,00;64,00;62,70;63,40;63,549;189091;12015409,5;599;
2018-07-04;63,20;63,40;63,10;63,60;62,70;63,40;63,151;173128;10932549,98;430;
2018-07-03;63,20;63,30;62,40;63,40;62,10;63,40;62,93;239565;15076322,6;481;
2018-07-02;62,10;62,20;63,00;63,00;61,80;62,20;62,178;139203;8655167,24;409;
2018-06-29;62,70;62,80;62,60;63,20;62,20;62,70;62,692;177573;11132831,93;473;
2018-06-28;62,30;62,40;63,60;63,60;62,10;62,60;62,658;196657;12321856,15;590;
2018-06-27;63,30;63,40;63,10;63,80;61,80;63,60;63,01;251502;15847669,32;725;
2018-06-26;62,90;63,10;63,70;63,70;62,70;63,20;63,307;170502;10793852,3;466;
2018-06-25;63,50;63,60;63,50;64,20;63,50;63,70;63,797;183868;11730098,62;607;
