sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-24;786,20;786,80;790,00;792,00;786,20;787,60;788,73;151763;119698641;2253;
2018-08-23;790,60;790,80;798,00;798,00;789,80;791,20;792,791;254108;201454514,6;3522;
2018-08-22;797,20;797,60;793,80;800,60;793,00;796,60;796,98;227851;181592552,4;3468;
2018-08-21;795,40;796,00;794,60;798,40;792,80;795,60;796,177;332126;264446402,4;4214;
2018-08-20;794,40;794,60;788,80;796,20;784,60;794,60;792,439;399909;316904455,2;4950;
2018-08-17;784,00;784,40;792,40;795,40;782,40;784,00;786,64;523358;411715846;5252;
2018-08-16;786,20;787,20;789,80;794,80;778,40;790,00;789,114;760220;599911966,2;8615;
2018-08-15;763,80;764,20;775,60;775,60;762,60;763,60;766,31;274738;210519274,8;4140;
2018-08-14;772,60;773,00;775,20;777,80;770,20;772,60;773,828;243006;188044701,1;3886;
2018-08-13;772,00;772,40;769,80;773,20;763,60;772,40;768,945;221375;170226238,15;3612;
2018-08-10;770,00;770,40;770,60;775,40;767,60;770,20;770,936;213958;164948131,4;3021;
2018-08-09;772,00;772,40;764,00;774,00;760,40;770,60;769,99;327624;252265381;4602;
2018-08-08;760,40;760,80;773,00;774,00;760,40;761,00;765,047;258282;197606752,1;3346;
2018-08-07;771,80;772,00;774,20;774,60;771,20;773,00;773,152;169904;131361807,4;2683;
2018-08-06;774,00;774,40;777,20;780,20;773,60;774,60;775,361;147123;114076633,8;2133;
2018-08-03;774,80;775,20;774,00;777,00;769,20;776,40;775,456;263281;204160432;3545;
2018-08-02;775,20;775,60;774,40;778,40;771,80;776,00;775,362;223279;173120202,6;2860;
2018-08-01;776,00;776,60;768,40;777,20;767,60;776,00;774,717;186490;144476679,1;3324;
2018-07-31;771,20;771,60;776,20;777,00;768,20;768,20;769,63;274575;211327534,4;2856;
2018-07-30;775,80;776,20;780,40;781,80;771,80;775,40;775,881;218558;169571702;3200;
2018-07-27;785,20;785,60;784,20;788,00;780,40;784,80;785,208;182066;142958977,2;2742;
2018-07-26;782,60;783,20;786,20;786,20;776,00;784,20;781,68;266314;208171307,26;3784;
2018-07-25;783,80;784,20;785,00;788,80;783,00;784,80;785,107;175466;137767122,8;2783;
2018-07-24;784,80;785,40;787,80;787,80;778,00;785,00;784,507;200034;156926533,1;3709;
2018-07-23;783,60;784,00;785,60;789,40;781,80;783,40;785,574;167392;131501392,5;2368;
2018-07-20;785,20;785,60;787,60;789,60;782,00;786,00;785,573;175785;138092900,2;2430;
2018-07-19;787,20;787,40;785,00;788,00;777,60;787,60;785,04;199687;156760615,1;2781;
2018-07-18;782,60;783,00;783,00;786,60;781,00;782,40;783,181;162088;126945258,7;2367;
2018-07-17;781,00;781,40;779,60;782,60;776,80;782,60;780,509;149650;116802685,1;2207;
2018-07-16;776,60;777,00;776,80;781,80;775,40;777,60;777,544;152615;118664970,4;2016;
2018-07-13;775,20;775,40;771,40;779,20;771,40;775,60;776,082;248236;192650918,3;3428;
2018-07-12;769,60;770,00;781,80;785,00;769,20;770,60;776,123;361326;280443548,7;4866;
2018-07-11;777,40;777,80;777,60;780,20;770,40;779,60;776,822;224263;174199398,2;3231;
2018-07-10;780,80;781,20;778,00;781,80;769,60;781,20;778,775;229507;178734847,7;2813;
