sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-24;670,00;670,40;669,00;672,00;665,80;670,20;669,704;95375;63874872,5;1724;
2018-08-23;668,40;669,00;660,20;670,00;659,40;668,00;665,807;125731;83712157;2133;
2018-08-22;658,00;658,80;655,80;659,60;653,00;659,40;656,829;117788;77354393,23;1900;
2018-08-21;655,20;655,60;657,00;660,40;653,60;655,00;656,229;92946;60994605,9;1673;
2018-08-20;654,80;655,40;657,00;659,40;654,40;656,00;656,247;101907;66878438,02;1770;
2018-08-17;654,00;654,80;654,80;655,60;652,00;655,60;654,458;142015;92942075,8;2354;
2018-08-16;651,80;652,60;646,80;655,40;644,40;652,80;651,672;156433;101942190,8;2410;
2018-08-15;645,00;645,40;658,20;660,00;644,60;645,00;649,178;132744;86178252,3;1969;
2018-08-14;658,40;658,80;654,00;669,00;654,00;658,80;661,80;239469;158482156,9;4587;
2018-08-13;650,00;650,20;645,00;653,20;642,20;649,60;649,17;165201;107239780,7;2761;
2018-08-10;643,60;644,00;650,60;652,00;643,60;645,00;647,402;208846;135209462,3;3609;
2018-08-09;652,00;652,20;646,40;656,80;646,40;652,40;652,176;239200;155998901,1;3847;
2018-08-08;649,40;649,80;656,00;660,80;647,20;649,00;651,298;215060;140066293;4437;
2018-08-07;657,40;657,80;663,60;663,60;656,00;656,00;658,617;182328;120086621,8;2921;
2018-08-06;661,00;661,40;663,00;665,20;659,80;661,00;661,961;145509;96322898,7;2536;
2018-08-03;664,20;664,40;668,00;668,80;663,00;663,00;664,42;106697;70893283;1615;
2018-08-02;664,80;665,20;666,00;667,80;660,20;666,40;665,687;141922;94472081,71;2069;
2018-08-01;668,40;669,00;660,00;668,00;655,20;667,00;662,602;148182;98183046;2450;
2018-07-31;660,00;660,60;677,80;677,80;659,40;659,80;664,235;304179;202054035,11;3888;
2018-07-30;677,20;677,60;690,00;699,00;677,00;678,00;685,535;196450;134679850,9;3105;
2018-07-27;689,40;689,80;684,80;695,00;680,40;690,00;689,032;120277;82856501,3;2427;
2018-07-26;683,00;683,60;674,40;683,60;672,60;682,80;679,973;125858;85575219,78;1876;
2018-07-25;669,20;669,60;665,00;674,80;663,80;668,40;669,684;113092;75736408,1;1721;
2018-07-24;665,60;666,20;664,00;667,20;661,80;665,00;664,904;105122;69896815,84;1780;
2018-07-23;660,60;661,00;658,20;664,40;654,00;662,00;661,823;87873;58155950,2;1647;
2018-07-20;657,80;658,20;652,00;659,60;652,00;658,20;657,144;151778;99732684,8;2400;
2018-07-19;653,00;653,40;657,80;660,00;651,20;651,20;653,056;144239;94207950,4;1870;
2018-07-18;658,20;658,80;662,00;664,00;657,60;658,60;660,082;141943;93696164,36;2075;
2018-07-17;661,60;662,00;664,00;664,60;656,80;661,60;660,585;227304;150151739,7;2932;
2018-07-16;662,60;663,00;661,00;665,60;660,00;662,20;662,326;101300;67093753,2;1708;
2018-07-13;660,60;661,00;655,80;663,60;655,80;661,60;660,956;156884;103691896,6;2145;
2018-07-12;655,80;656,20;648,00;656,80;647,80;654,60;652,886;94538;61721190,7;1488;
2018-07-11;645,60;646,00;645,00;648,00;640,20;645,80;645,261;153001;98679657,7;1723;
2018-07-10;650,00;650,40;640,00;652,00;638,40;650,80;647,796;252622;163643898,7;1749;
2018-07-09;637,20;637,60;638,20;640,00;631,80;637,60;636,399;125532;79888076,3;2222;
2018-07-06;634,20;634,60;623,40;637,20;622,40;634,40;632,952;203030;128506936,2;2776;
2018-07-05;620,40;620,80;604,80;622,20;604,60;621,60;618,062;236486;146133760,5;3247;
2018-07-04;603,60;604,00;606,60;610,60;603,40;605,60;606,717;137287;83294283,1;2069;
2018-07-03;605,60;605,80;606,20;610,00;602,00;607,20;605,744;174779;105870211,5;2395;
2018-07-02;601,80;602,00;584,60;607,00;582,60;603,60;599,859;358587;215096056,8;5648;
2018-06-29;589,00;589,40;582,60;590,80;576,60;589,40;586,226;502790;294714573,3;7251;
