sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-27;686,20;687,00;688,40;692,00;682,80;686,40;686,296;117024;80314075,3;1706;
2018-08-24;688,20;688,80;689,00;691,20;682,60;688,40;687,492;124678;85709537,9;2319;
2018-08-23;689,00;689,40;686,20;694,80;684,80;688,00;689,868;198456;136911315;3127;
2018-08-22;687,00;687,60;677,60;690,00;676,40;686,60;684,036;243340;165967743,31;3171;
2018-08-21;676,40;677,00;679,80;683,60;673,80;677,20;678,734;188261;127781615,15;2656;
2018-08-20;681,20;681,40;680,60;682,80;675,00;679,80;679,818;189686;128955693,86;2671;
2018-08-17;680,20;680,80;680,40;690,00;679,20;680,00;683,211;213279;145797821,5;2628;
2018-08-16;680,60;681,00;671,40;681,40;669,20;680,40;677,291;290989;196927940;3188;
2018-08-15;669,20;669,60;670,00;675,00;666,60;668,40;669,639;244221;163547644,4;2670;
2018-08-14;670,40;671,00;669,80;676,80;663,40;670,00;671,946;344438;231355925,45;4078;
2018-08-13;666,20;666,60;651,20;667,80;649,40;666,40;662,801;396586;262853373,6;5640;
2018-08-10;648,40;648,60;639,20;652,40;636,80;648,80;648,148;359462;232983380,2;4549;
2018-08-09;643,40;643,80;636,60;648,80;630,40;644,60;641,709;456941;293220411,4;5998;
2018-08-08;647,20;647,80;688,40;688,40;635,40;646,80;652,953;935970;611238956,2;12467;
2018-08-07;672,60;673,00;683,60;686,00;672,60;675,40;677,947;474200;321483892,91;5945;
2018-08-06;681,00;681,40;695,40;699,80;678,80;681,80;685,763;394990;270880192,9;4850;
2018-08-03;692,00;692,40;700,20;703,60;690,20;693,40;694,594;323683;224827466,61;3824;
2018-08-02;699,20;699,80;692,60;700,20;690,00;700,00;696,77;425151;295856245,2;4352;
2018-08-01;696,20;696,80;694,00;702,40;687,80;697,20;697,346;261942;182665374,5;3730;
2018-07-31;695,40;696,00;708,80;712,00;692,60;695,00;697,246;490575;342110354,94;3118;
2018-07-30;707,00;707,40;710,00;716,60;706,80;707,80;710,071;170529;120992792,27;2315;
2018-07-27;711,00;711,60;705,20;713,20;699,40;712,80;708,245;615800;433669627,7;2915;
2018-07-26;705,00;705,40;708,80;709,40;700,60;705,00;704,454;258220;181902394,3;3253;
2018-07-25;701,00;701,40;688,60;702,80;687,00;701,40;698,462;191188;133531062;2658;
2018-07-24;689,00;689,40;686,20;692,00;682,20;690,60;689,705;368245;253978159,19;2170;
2018-07-23;681,20;681,60;683,00;688,40;679,60;682,60;683,295;183288;125242791,6;2226;
2018-07-20;682,20;682,60;674,00;686,60;673,40;683,80;681,925;264191;180154222,6;3379;
2018-07-19;669,00;669,40;665,20;672,60;658,60;668,40;667,344;338394;225066011,8;2899;
2018-07-18;662,00;662,40;665,80;669,60;661,80;663,40;664,502;161365;107228397,36;2014;
2018-07-17;663,40;663,60;664,00;670,40;659,00;666,00;663,984;223743;148560224,9;2505;
2018-07-16;665,80;666,00;666,00;668,80;663,60;664,80;665,649;113923;75836938,22;1561;
2018-07-13;666,80;667,00;671,60;676,60;665,60;665,60;668,245;269277;179945144,4;2400;
2018-07-12;669,60;670,00;660,00;670,40;659,60;670,20;666,427;195200;130074814;2175;
2018-07-11;659,00;659,40;652,00;659,60;651,20;659,00;657,40;195234;128334117,2;2139;
2018-07-10;656,60;656,80;649,00;659,80;646,60;656,00;656,14;355348;233163177,2;3416;
2018-07-09;645,00;645,20;633,00;646,40;633,00;646,40;642,798;276800;177915248,2;3256;
2018-07-06;631,40;631,60;627,00;636,40;626,20;632,40;632,055;326509;206372379;3796;
2018-07-05;626,60;627,00;626,40;628,40;624,00;627,40;626,747;158424;99291295,6;1683;
2018-07-04;626,60;627,00;627,40;629,20;623,80;627,60;626,931;153237;96069016,1;1853;
2018-07-03;628,80;629,20;627,60;632,80;627,00;628,00;628,669;293465;184492975,6;3472;
2018-07-02;625,40;625,60;633,60;634,20;624,00;626,00;627,40;233718;146629237,6;3294;
2018-06-29;638,20;638,60;637,00;644,80;633,80;637,80;638,058;328548;209632927,4;3574;
2018-06-28;629,20;629,60;628,60;640,20;627,00;630,60;632,189;284879;180102653;3327;
2018-06-27;628,80;629,20;637,20;637,20;618,20;630,60;628,75;474725;298500190,1;6147;
2018-06-26;639,40;639,60;633,80;640,80;629,20;638,60;635,475;399244;253618094,1;4160;
2018-06-25;633,80;634,00;639,20;645,00;632,80;633,40;637,595;249951;159379930,2;3297;
2018-06-22;639,20;639,60;630,60;640,40;630,20;640,40;638,301;353322;225520183,16;3219;
2018-06-21;628,40;628,80;634,00;635,20;627,00;628,40;630,293;293435;184938020,2;3672;
2018-06-20;632,20;632,60;624,00;634,40;624,00;632,20;631,104;297834;187964332,08;3570;
2018-06-19;619,80;620,00;623,40;624,40;617,80;620,80;621,032;289556;179825796,4;3455;
2018-06-18;627,00;627,40;634,00;634,00;625,20;626,40;627,134;271540;170291393,8;3458;
2018-06-15;637,00;637,40;639,20;644,80;635,00;635,00;636,188;443346;282045761,39;3201;
2018-06-14;638,80;639,20;638,00;641,20;634,80;638,60;638,358;263909;168468877,3;3404;
2018-06-13;636,20;636,40;635,00;639,80;635,00;638,00;637,896;284242;181317883;3413;
2018-06-12;633,60;633,80;634,80;638,20;626,80;635,00;634,649;224511;142484747;2382;
2018-06-11;632,20;632,40;631,60;636,00;630,00;632,20;632,971;222026;140536000,5;2732;
2018-06-08;629,20;629,60;623,00;630,00;618,40;630,00;626,896;217888;136591756,2;2662;
2018-06-07;623,80;624,20;630,00;631,80;623,60;624,60;626,047;328957;205946008,33;3003;
2018-06-06;626,80;627,00;622,00;636,00;620,40;628,80;629,156;503459;316754779,3;4916;
2018-06-04;618,80;619,00;620,00;621,20;617,40;619,00;619,288;215438;133418472,68;2645;
2018-06-01;615,80;616,20;609,40;616,80;606,80;615,60;614,651;305371;187695565,9;3236;
2018-05-31;606,80;607,00;610,60;615,60;605,20;605,20;607,406;822141;499180289,85;4761;
2018-05-30;607,00;607,60;609,00;611,20;604,80;608,00;607,255;524410;318433178,51;6078;
2018-05-29;609,20;609,60;615,00;615,60;607,20;609,60;609,591;366444;223379106,3;4081;
2018-05-28;616,80;617,00;618,20;620,40;616,60;617,00;617,919;206329;127498101,3;2518;
2018-05-25;616,60;617,00;613,20;617,60;609,20;617,20;615,645;333816;205433397,33;3796;
2018-05-24;610,20;610,60;614,80;616,00;609,20;609,20;612,201;388516;237915877,4;3454;
2018-05-23;612,60;612,80;613,40;614,20;607,80;613,20;612,584;252453;154648489,26;2649;
2018-05-22;614,00;614,40;615,00;617,20;611,00;614,40;613,762;321887;197553379,74;3255;
2018-05-18;614,20;614,60;612,60;615,80;609,00;615,80;614,07;413145;253641784,06;3926;
2018-05-17;611,40;611,80;600,40;614,20;597,00;612,20;609,212;445595;270759857,23;3439;
2018-05-16;600,40;600,80;596,20;603,00;590,00;600,80;598,125;475936;284633710,2;4596;
2018-05-15;595,40;595,80;601,60;601,60;592,40;596,80;596,895;810039;483450782,79;5691;
2018-05-14;601,40;602,00;600,00;606,40;595,20;601,60;600,303;780994;468607269,94;7781;
2018-05-09;594,60;595,20;576,80;595,00;576,40;594,60;589,125;680713;401017896,3;6905;
2018-05-08;577,40;578,00;570,00;578,00;563,80;576,40;572,188;897639;513221301,58;8300;
2018-05-07;570,80;571,20;569,00;573,80;565,20;573,80;571,346;454388;259609884,8;3643;
2018-05-04;571,00;571,40;571,00;583,20;569,80;569,80;572,647;656639;376046202,99;5849;
2018-05-03;569,60;570,00;536,00;574,60;525,60;571,00;559,996;1413905;790831639,4;14646;
2018-05-02;535,60;535,80;527,80;536,40;522,00;536,40;531,375;516412;274402151,7;4552;
2018-05-01;527,80;528,20;524,80;529,60;524,40;525,60;527,107;194046;102284231,8;2389;
2018-04-30;524,20;524,80;524,40;526,40;522,60;524,00;524,452;692733;363299029,5;3661;
2018-04-26;521,80;522,20;519,20;526,00;518,60;521,00;522,21;396808;207223518,3;4182;
2018-04-25;519,00;519,40;524,40;525,60;517,40;518,40;520,769;333193;173519992,31;3726;
2018-04-24;523,20;523,80;529,00;529,40;521,20;524,20;524,53;598484;313941800;2993;
2018-04-23;527,60;528,00;522,00;528,20;522,00;528,20;526,122;267256;140603967,4;2360;
2018-04-20;520,60;521,00;522,00;524,00;519,00;521,00;521,043;291109;151677003,9;2727;
2018-04-19;523,00;523,40;526,40;526,40;520,60;522,80;522,522;277913;145215575,4;3102;
2018-04-18;527,00;527,40;504,40;527,40;504,00;526,80;524,35;242999;127416546;1565;
2018-04-17;519,80;520,20;515,80;520,60;511,80;518,80;517,175;420043;217236096,5;3659;
2018-04-16;513,00;513,40;513,20;519,60;513,00;514,00;515,757;265595;136981929;2903;
2018-04-13;512,80;513,00;514,20;516,40;511,60;513,00;514,009;244325;125585237,4;2307;
2018-04-12;511,00;511,40;510,40;515,00;507,80;511,00;511,225;315962;161527632,4;3340;
2018-04-11;510,20;510,40;518,60;520,60;509,40;509,40;513,278;321637;165082924,4;2683;
2018-04-10;518,40;518,60;514,80;520,80;513,80;519,00;518,459;285796;148164713,91;2868;
2018-04-09;514,00;514,40;509,80;515,80;509,80;512,80;513,387;239981;123203075,6;2773;
2018-04-06;509,20;509,60;505,00;512,40;504,60;509,60;508,582;275801;140260294,97;2643;
2018-04-05;506,80;507,40;501,60;508,80;496,40;506,20;504,075;345123;174013598,85;3680;
2018-04-04;496,90;497,20;508,00;508,00;496,00;496,40;499,191;337287;168370471,1;4050;
2018-04-03;507,00;507,20;518,80;518,80;501,20;507,20;506,535;517347;261927636,41;4679;
2018-03-28;510,40;511,00;500,40;514,00;498,70;510,60;507,563;732628;369879937,13;3173;
2018-03-27;501,00;501,60;502,00;504,00;499,90;501,00;501,736;212430;106579981,01;1989;
2018-03-26;498,70;498,80;500,00;504,80;496,80;496,80;500,482;217147;108866918,05;1899;
2018-03-23;500,40;500,80;498,60;504,20;496,10;499,80;499,663;254157;126998222;3200;
2018-03-22;501,00;501,20;505,00;507,60;500,40;501,40;503,061;212236;106769047,1;2290;
2018-03-21;507,80;508,20;506,00;511,00;505,40;507,00;507,387;272589;138307743,4;2739;
2018-03-20;505,40;505,80;507,80;508,00;504,60;504,80;505,959;181990;92079727,13;2332;
2018-03-19;507,00;507,20;509,60;510,60;505,20;506,80;507,323;185909;94315869,5;2022;
2018-03-16;510,60;511,00;511,00;514,20;509,20;509,20;510,443;388723;198421160,2;3030;
2018-03-15;512,20;512,40;512,20;514,40;509,80;511,00;511,81;265800;136037565,4;2222;
2018-03-14;512,40;512,80;514,20;517,20;511,00;511,00;513,284;176615;90653784,2;2086;
2018-03-13;515,80;516,40;518,20;520,00;514,20;514,20;516,353;370263;191160031,36;3106;
2018-03-12;517,60;518,00;517,00;520,00;515,40;517,00;517,762;244547;126616885,46;2224;
2018-03-09;516,80;517,00;516,00;519,00;513,80;516,00;516,628;310118;160245238;3093;
2018-03-08;516,20;516,40;509,60;517,60;509,60;515,00;514,756;335831;172870846,3;3304;
2018-03-07;508,40;508,80;507,80;509,60;503,80;509,60;507,643;228270;115879340,1;2377;
2018-03-06;508,20;508,60;512,00;512,20;507,60;508,20;508,975;182167;92718462,1;2049;
2018-03-05;509,40;509,60;506,40;510,60;505,80;509,40;509,445;269927;137513079,7;2327;
2018-03-02;508,20;508,60;509,00;511,00;505,80;508,00;507,715;258425;131214918,4;2611;
2018-03-01;511,40;511,80;509,80;515,60;509,00;510,60;511,644;293620;150299011,2;3065;
2018-02-28;520,60;520,80;520,20;522,00;513,40;517,60;518,115;466045;241480675;3376;
2018-02-27;523,80;524,20;529,00;529,60;517,00;523,80;523,037;292921;153209296,9;3262;
2018-02-26;528,20;528,60;526,60;530,40;526,60;528,00;528,441;227330;120130576,7;2767;
2018-02-23;525,60;526,00;524,40;527,00;520,00;525,40;524,609;197104;103401983,28;1649;
2018-02-22;522,40;522,80;522,00;525,00;517,80;523,00;522,172;225825;117884031,34;2574;
2018-02-21;522,40;522,80;517,40;524,00;515,40;522,80;520,346;196756;102378028,78;2016;
2018-02-20;519,00;519,40;512,60;524,00;510,20;518,80;517,172;438860;226986261,45;2960;
2018-02-19;513,80;514,00;524,00;524,00;512,80;513,20;517,01;224369;116005327,88;2446;
