sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-24;189,70;189,80;186,40;190,15;186,20;189,65;189,179;2074459;392407549,13;6667;
2018-08-23;186,45;186,55;188,00;188,45;186,00;186,25;186,556;2235403;417043376,73;6030;
2018-08-22;188,30;188,35;187,50;192,40;187,50;188,30;189,619;2895465;549012669,04;9644;
2018-08-21;184,70;184,85;184,20;185,90;183,05;184,75;184,701;2400232;443327642,06;6453;
2018-08-20;184,25;184,35;184,25;185,80;183,70;184,15;184,431;1943499;358440298,38;6122;
2018-08-17;182,90;183,05;181,60;183,80;179,70;182,90;182,545;2036185;371596900,29;5416;
2018-08-16;181,75;181,90;179,30;182,10;179,00;181,80;181,074;1563670;283155487,33;4802;
2018-08-15;178,85;178,90;180,70;181,35;177,80;178,85;179,323;1373831;246357402,09;4366;
2018-08-14;180,45;180,55;183,50;183,90;179,55;180,20;181,069;2888456;523044258,14;8442;
2018-08-13;184,45;184,55;182,75;184,65;181,50;183,90;183,103;2160153;395527695,93;6930;
2018-08-10;183,70;183,80;180,70;184,50;179,80;183,50;183,185;2304323;422105197,94;6865;
2018-08-09;182,15;182,25;180,40;182,25;179,90;181,70;181,265;1722769;312275177,04;4734;
2018-08-08;181,10;181,25;181,30;182,15;180,15;180,70;180,964;1420630;257082402,41;3955;
2018-08-07;181,15;181,25;180,35;181,65;179,25;181,30;180,624;2019935;364850856,16;6525;
2018-08-06;180,95;181,00;183,50;183,50;179,30;180,85;181,101;1700173;307900422,4;5628;
2018-08-03;183,05;183,10;180,00;183,80;179,70;182,80;182,633;1897207;346516589,49;5774;
2018-08-02;179,20;179,35;182,10;182,75;178,05;179,00;179,301;2522359;452264901,84;7628;
2018-08-01;182,85;182,90;186,00;187,10;182,35;182,80;183,51;1900556;348777461;6087;
2018-07-31;185,00;185,10;187,20;188,35;184,80;185,25;186,177;2980494;554919509,76;5958;
2018-07-30;187,30;187,45;187,90;188,50;185,45;187,80;187,344;1753151;328410891,14;4948;
2018-07-27;187,65;187,75;186,10;188,90;185,70;187,80;187,791;1911183;358904679,79;6620;
2018-07-26;186,80;186,90;186,20;187,95;185,50;187,30;187,172;2273465;425526940,04;6014;
2018-07-25;185,15;185,30;186,00;187,65;184,10;185,00;185,79;2305362;428315178,69;8182;
2018-07-24;186,05;186,10;185,35;187,30;184,00;186,25;186,072;2166529;403131191,58;7375;
2018-07-23;184,00;184,10;181,35;185,25;180,05;183,85;183,747;2643333;485704878,35;7163;
2018-07-20;180,10;180,20;182,00;182,10;179,00;180,75;180,462;3095623;562458583,24;7466;
2018-07-19;182,10;182,15;176,70;183,70;176,50;181,90;181,965;4774245;868867116,53;13951;
2018-07-18;177,45;177,60;181,00;183,95;173,30;177,30;177,983;10959367;1950911338,66;32029;
2018-07-17;194,75;194,80;195,60;197,70;193,40;195,10;195,274;2859181;558323685,97;8073;
2018-07-16;194,00;194,10;193,40;195,50;192,80;193,75;193,895;1317910;255533372,98;4511;
2018-07-13;194,15;194,25;196,00;196,30;193,40;193,95;194,488;1630534;317122156,02;4349;
2018-07-12;194,80;194,90;194,45;195,70;192,65;195,05;194,666;1631723;317639193,35;5140;
2018-07-11;193,85;193,95;193,20;194,00;192,20;193,95;193,328;2132228;412217456,97;6185;
2018-07-10;193,90;194,00;194,35;197,35;193,25;193,80;194,459;2640607;513497867,85;7866;
2018-07-09;192,35;192,50;190,75;192,80;190,45;192,45;191,597;2398002;459441652,09;8112;
2018-07-06;190,50;190,55;190,00;192,00;189,05;190,65;190,583;4207919;801640337,77;12881;
2018-07-05;191,95;192,10;195,55;199,70;191,15;192,20;193,493;4526352;875760661,82;14291;
2018-07-04;197,35;197,50;195,15;197,95;194,15;197,35;195,947;3450454;676111200,09;11080;
2018-07-03;201,60;201,70;200,20;202,30;198,50;201,40;201,078;1939623;390013035,44;5574;
2018-07-02;199,50;199,55;198,80;200,20;196,40;199,40;199,102;1807556;359888683,59;6880;
2018-06-29;199,95;200,10;200,00;201,50;197,85;199,75;199,828;3000135;599511151,58;8379;
2018-06-28;198,25;198,35;197,95;200,60;197,40;198,60;199,052;3003241;597796113,58;11364;
2018-06-27;198,55;198,65;197,75;199,30;193,45;198,60;196,80;4841687;952847829,61;17019;
2018-06-26;197,85;198,00;203,60;204,60;197,65;197,65;199,963;3201315;640162245,65;10231;
2018-06-25;204,00;204,10;205,50;206,00;203,60;203,60;204,552;2156884;441219472,26;6133;
2018-06-22;206,70;206,90;206,00;208,50;206,00;206,70;207,404;1623116;336631738;4772;
2018-06-21;206,10;206,30;208,30;209,50;205,70;205,70;207,031;2378452;492414329,6;6376;
2018-06-20;208,40;208,50;210,40;211,60;207,20;208,70;208,882;3784960;790612635,05;9925;
2018-06-19;210,60;210,70;211,70;211,70;209,10;210,80;210,582;2504198;527337843,69;6589;
2018-06-18;213,50;213,70;216,60;217,20;212,90;213,20;214,373;1779253;381408764,3;5019;
2018-06-15;217,10;217,30;219,10;219,60;211,90;217,80;216,646;4584142;993110611,64;8511;
2018-06-14;218,60;218,80;219,00;219,90;217,90;219,10;219,083;2194871;480895488,25;5448;
2018-06-13;217,90;218,10;218,80;219,70;216,60;218,50;218,269;2564228;559691811,78;5972;
2018-06-12;218,70;218,90;219,00;219,80;217,70;218,80;218,934;2306396;504964798,05;5978;
2018-06-11;218,60;218,80;215,10;218,90;214,40;218,00;217,163;1787833;388246817,03;4215;
2018-06-08;213,60;213,80;214,50;215,00;212,80;213,40;213,924;1754711;375376963,69;4984;
2018-06-07;215,40;215,50;217,50;218,80;214,80;215,20;216,282;2251016;486856486,7;6870;
2018-06-06;215,10;215,20;218,00;218,00;213,70;215,40;215,672;2484676;535868347,1;7086;
2018-06-04;218,40;218,50;220,00;222,00;217,50;218,50;219,41;2576912;565409530,47;9063;
2018-06-01;216,00;216,10;213,10;217,20;210,40;216,10;214,963;2259593;485746993,9;6076;
2018-05-31;211,00;211,20;209,00;213,80;207,90;211,40;211,77;5474867;1159416668,9;12281;
2018-05-30;206,60;206,70;207,60;207,60;204,00;207,00;206,408;2364244;487990147,6;7317;
2018-05-29;207,40;207,50;211,70;211,70;205,30;207,10;207,078;2494656;516587748,39;8175;
2018-05-28;212,10;212,30;213,50;214,70;211,30;212,20;212,68;1268627;269813565,4;4748;
2018-05-25;212,40;212,50;213,60;214,40;211,70;212,40;212,94;1895436;403623293,1;6178;
2018-05-24;212,70;212,90;216,80;217,00;212,80;212,80;214,603;2181821;468235309,76;5572;
2018-05-23;216,40;216,60;215,60;217,10;214,30;216,90;216,433;1991804;431087269,7;5071;
2018-05-22;216,10;216,30;216,80;217,80;215,30;215,90;216,43;3256232;704741955,75;7332;
2018-05-18;216,40;216,50;215,60;217,40;215,00;216,30;216,355;2219596;480218102,9;6094;
2018-05-17;216,40;216,60;213,60;217,10;213,60;216,40;216,141;2557635;552844203,04;6390;
2018-05-16;213,80;213,90;215,00;215,00;212,80;213,60;213,585;1443574;308328684,14;4456;
2018-05-15;215,20;215,40;214,70;216,00;214,30;215,20;215,107;2403602;517023168,9;5509;
2018-05-14;214,50;214,70;214,80;216,10;213,20;214,50;214,448;3330159;714155982,08;8260;
2018-05-09;215,00;215,20;216,20;218,20;214,70;215,20;215,777;2832311;611161019,21;7454;
2018-05-08;216,70;216,80;215,30;217,40;214,70;216,70;216,166;2474276;534850449,52;7116;
2018-05-07;215,00;215,10;216,00;217,60;214,90;214,90;215,882;1389536;299985722,67;4108;
2018-05-04;216,40;216,50;215,80;217,30;214,60;215,90;215,966;2419557;522560423,43;6475;
2018-05-03;215,70;215,80;217,50;219,60;215,20;215,80;216,855;1937701;420199378,22;6578;
2018-05-02;218,60;218,80;217,70;218,70;216,90;218,00;218,112;1893248;412951747,3;5550;
2018-05-01;217,80;218,00;215,40;218,70;215,40;217,90;217,396;799876;173899358;2379;
2018-04-30;215,80;215,90;217,40;219,30;215,40;215,40;216,58;1988144;430592400,42;4784;
2018-04-26;219,50;219,60;218,80;220,20;214,10;219,50;217,855;2971384;647223324,65;8668;
2018-04-25;219,10;219,20;225,30;225,60;218,70;218,80;219,97;2615395;575387994,26;6721;
2018-04-24;226,10;226,30;226,00;227,00;225,40;225,70;226,004;1709866;386458691,57;4883;
2018-04-23;224,70;224,80;224,30;225,30;223,90;224,60;224,631;1796692;403620823,11;4912;
2018-04-20;224,00;224,20;224,50;225,40;223,70;223,80;224,403;1465861;328972061,5;4606;
2018-04-19;224,70;224,80;224,00;224,80;222,80;223,80;223,862;1840127;411934349,55;5368;
2018-04-18;225,10;225,20;223,90;225,90;223,60;225,10;224,925;1067461;240098974,5;2321;
2018-04-17;222,30;222,50;221,60;223,00;221,10;223,00;222,457;1546387;344003183,98;4035;
2018-04-16;221,10;221,30;221,00;222,50;220,80;221,10;221,34;983250;217632884,5;3080;
2018-04-13;220,70;221,00;223,20;223,70;220,60;220,90;221,993;1153727;256118932,7;3131;
2018-04-12;221,40;221,60;220,80;222,30;219,60;221,40;221,236;1397547;309189339,49;4257;
2018-04-11;220,20;220,40;224,80;225,00;219,60;220,00;221,159;1673009;370004711,25;5072;
2018-04-10;224,70;224,80;225,80;225,80;223,10;224,80;224,534;1313117;294838352,39;4432;
2018-04-09;224,30;224,40;224,70;225,90;223,50;224,30;224,471;1166711;261893017,4;3199;
2018-04-06;224,10;224,30;224,60;225,00;223,30;223,70;224,019;1298908;290980360,55;3746;
2018-04-05;225,60;225,70;225,00;225,90;223,50;225,40;225,287;1534297;345664172,44;4327;
2018-04-04;223,00;223,20;225,60;225,60;221,20;222,80;222,942;2067702;460981936,64;6301;
2018-04-03;224,40;224,70;226,40;226,60;219,80;224,50;224,882;2152647;484085222,03;8479;
2018-03-28;225,80;225,90;224,00;227,10;222,40;225,40;224,937;2255438;507323652,43;5668;
2018-03-27;224,50;224,70;229,20;230,30;224,50;224,90;226,366;1807884;409246519,37;5405;
2018-03-26;226,00;226,20;228,20;229,10;225,80;225,80;226,861;1647231;373695360,2;4689;
2018-03-23;227,80;228,00;225,30;228,90;224,10;228,00;226,747;2008591;455443297,89;6953;
2018-03-22;228,60;228,70;233,80;235,90;228,50;228,60;231,43;2037285;471486645,52;6118;
2018-03-21;234,10;234,30;235,10;236,60;233,40;233,60;234,331;1845389;432421631,55;5269;
2018-03-20;235,10;235,30;235,80;236,20;233,90;235,00;235,23;1477995;347667658,38;4800;
2018-03-19;234,80;234,90;235,40;236,40;234,60;235,10;235,185;1406826;330863947,85;5013;
2018-03-16;235,30;235,40;237,40;238,00;234,50;234,50;235,502;3490266;822175720,25;7949;
2018-03-15;244,30;244,40;244,00;244,90;242,20;244,20;243,472;2011459;489713731,1;5796;
2018-03-14;244,40;244,50;248,10;248,30;244,10;244,10;245,678;1729800;424992637,05;5521;
2018-03-13;248,20;248,40;247,00;251,20;246,90;247,70;249,001;1923716;479012351,7;5931;
2018-03-12;246,60;246,70;246,50;246,90;245,70;246,80;246,632;904149;222991331,54;2700;
2018-03-09;246,30;246,40;244,10;246,40;243,90;246,20;245,233;1273891;312380280,1;4479;
2018-03-08;244,20;244,40;244,40;246,10;243,90;244,40;244,915;1164823;285283384,25;3962;
2018-03-07;244,50;244,60;242,00;245,30;241,80;244,80;244,184;1307997;319391853,6;4841;
2018-03-06;242,10;242,20;244,30;245,90;242,00;242,00;243,505;1494551;363935060,95;4539;
2018-03-05;243,00;243,10;242,00;243,50;240,80;242,90;242,573;1169763;283752469,8;3812;
2018-03-02;241,50;241,70;241,00;242,50;240,30;242,50;241,628;1582924;382477169,45;4047;
2018-03-01;243,90;244,00;244,60;245,00;242,40;243,80;243,613;1349758;328819291,42;4219;
2018-02-28;246,30;246,50;240,40;247,40;240,20;246,20;244,918;2381982;583358396,73;5560;
2018-02-27;241,80;242,00;245,00;246,20;239,40;242,50;242,545;3860900;936504582,32;12471;
2018-02-26;250,10;250,30;249,50;251,90;249,20;250,10;250,719;1563158;391972508,9;3845;
2018-02-23;248,60;248,70;247,60;249,80;246,50;248,60;248,395;1210092;300581332,42;3686;
2018-02-22;246,80;247,00;247,80;248,80;245,60;247,00;247,022;1849111;456770834,9;5156;
2018-02-21;246,40;246,50;244,80;246,60;243,70;246,50;245,204;1046310;256555195,88;3572;
2018-02-20;244,80;245,00;249,00;249,30;243,70;245,00;245,453;2126037;521785888,66;6177;
2018-02-19;249,10;249,20;249,40;249,90;248,40;249,10;249,165;888721;221438387,54;2781;
2018-02-16;248,50;248,60;247,20;249,00;246,40;248,80;248,042;1268567;314647872,44;3983;
2018-02-15;245,90;246,00;245,90;248,50;245,50;245,80;247,114;1527162;377402033,95;4896;
2018-02-14;244,00;244,10;241,70;244,70;241,00;244,20;243,143;1561672;379708576,9;4836;
2018-02-13;241,20;241,40;243,00;243,20;240,70;241,50;241,659;1475349;356532242,99;5433;
2018-02-12;242,80;243,00;243,10;245,90;242,50;242,80;243,816;1363881;332535377,97;4357;
2018-02-09;241,00;241,10;240,00;242,70;238,40;240,60;240,326;2288314;549938873,95;8070;
2018-02-08;240,90;241,00;242,50;245,40;240,90;241,00;242,42;1728650;419068288,34;5358;
2018-02-07;241,40;241,60;241,50;244,10;239,60;241,90;241,549;2656194;641600095,64;8299;
2018-02-06;239,50;239,70;235,20;243,40;234,80;238,70;240,37;3494372;839875808,7;11611;
2018-02-05;245,30;245,50;244,90;245,90;242,70;244,90;244,361;2089120;510496650,64;7727;
2018-02-02;245,50;245,70;249,80;251,00;243,20;244,90;246,402;3582482;882710271,52;11638;
2018-02-01;242,30;242,50;245,20;247,50;242,10;242,10;244,08;1678260;409629424,37;6602;
2018-01-31;243,70;243,80;243,60;244,80;242,50;243,50;243,586;2032155;495009470,17;3764;
2018-01-30;242,90;243,10;244,20;244,70;242,50;242,80;243,335;1666792;405599027,75;5644;
2018-01-29;245,40;245,50;243,60;245,70;243,60;245,20;244,918;1759124;430839020,5;4330;
