sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-24;592,60;593,00;591,20;594,60;588,80;593,20;592,292;255773;151489806,23;2686;
2018-08-23;591,00;591,60;589,00;593,20;586,20;591,20;590,371;235081;138775921,39;2642;
2018-08-22;588,00;588,40;592,00;593,60;586,60;588,60;589,667;320378;188920472,79;3299;
2018-08-21;591,40;591,60;592,00;594,60;590,20;591,00;592,442;223758;132566357,23;2541;
2018-08-20;590,60;591,00;586,20;592,80;586,00;592,00;590,01;372898;220030577,86;3714;
2018-08-17;585,60;586,20;586,20;590,40;584,80;586,20;586,973;250421;146959316,13;3076;
2018-08-16;586,40;586,80;575,20;587,00;574,80;586,60;582,131;331335;192867708,32;3237;
2018-08-15;574,00;574,20;577,80;581,20;573,20;573,20;577,288;372011;214823094,33;3321;
2018-08-14;579,00;579,40;585,60;589,40;577,80;578,40;582,34;295975;172340610,12;3031;
2018-08-13;583,20;583,60;579,00;583,60;575,20;582,40;580,406;230384;133704047,27;2209;
2018-08-10;578,40;578,60;579,20;581,20;577,20;579,00;579,413;260874;151136455,34;2344;
2018-08-09;581,80;582,00;576,20;582,00;572,60;581,00;577,961;314219;181582225,3;2966;
2018-08-08;576,60;576,80;570,00;577,20;569,60;575,60;573,469;407907;233844212,93;4296;
2018-08-07;569,20;569,60;577,20;577,20;567,40;569,80;571,236;408691;233518125;4009;
2018-08-06;574,80;575,20;580,00;580,40;573,40;575,40;576,479;329422;189954647,1;3538;
2018-08-03;579,80;580,00;572,60;583,20;571,60;578,20;579,245;522555;302321836,58;4216;
2018-08-02;570,20;570,80;569,00;573,00;566,00;569,20;569,616;656426;373908077,22;5442;
2018-08-01;570,40;570,80;565,20;573,20;556,40;570,00;565,99;832123;470904765,26;9270;
2018-07-31;535,00;535,40;530,80;535,60;528,20;534,40;532,317;480783;255919517;3677;
2018-07-30;529,80;530,20;532,20;532,20;525,40;531,00;529,995;179456;95109648,05;1894;
2018-07-27;531,40;531,80;531,60;533,40;528,20;532,00;532,012;213965;113831867,1;1674;
2018-07-26;534,60;535,00;522,80;534,80;521,20;534,20;531,53;363077;192978208,56;3308;
2018-07-25;516,60;517,00;515,40;517,00;513,20;517,00;516,145;152410;78663776,4;1319;
2018-07-24;515,80;516,00;514,20;520,60;511,00;516,40;516,214;268977;138849362,8;2434;
2018-07-23;511,00;511,40;512,00;513,00;509,60;512,40;511,366;185762;94992271,99;1485;
2018-07-20;512,60;513,00;514,00;516,20;510,00;513,80;513,345;172306;88452339,9;2036;
2018-07-19;514,60;515,00;515,00;517,80;511,80;514,00;515,129;221515;114100453,44;2014;
2018-07-18;511,00;511,20;509,60;512,60;508,40;511,40;510,979;224428;114671800,4;2294;
2018-07-17;510,40;510,60;510,00;513,80;507,60;510,80;510,366;327234;167010677,4;3103;
2018-07-16;506,80;507,20;513,60;513,60;504,40;507,00;507,467;192149;97515484,7;1828;
2018-07-13;512,60;513,00;504,60;513,60;502,60;513,20;509,689;379082;193205566,9;3087;
2018-07-12;503,80;504,20;504,00;506,20;502,60;503,00;504,063;466639;235221134,47;3264;
2018-07-11;503,00;503,20;510,00;510,00;501,20;502,00;503,163;444766;223790422,7;3448;
2018-07-10;512,80;513,00;509,00;514,00;508,60;512,80;511,695;369389;189016057,42;2987;
2018-07-09;507,80;508,00;506,60;514,40;506,60;508,40;509,445;375815;191457516,9;3560;
2018-07-06;505,20;505,80;506,00;508,20;504,40;505,40;505,986;396628;200688453,4;3263;
2018-07-05;505,00;505,20;507,40;513,60;505,00;506,40;508,154;456161;231800641,1;3659;
2018-07-04;506,40;506,80;510,80;511,20;504,20;507,00;507,339;374747;190124179,9;3010;
2018-07-03;511,60;512,00;509,60;516,20;509,60;511,80;512,286;458689;234995745,3;3949;
2018-07-02;509,60;509,80;511,20;513,20;508,40;509,40;510,232;427164;217958600,1;4767;
2018-06-29;516,80;517,20;518,40;520,80;513,00;515,60;516,657;643213;332306824,07;4516;
2018-06-28;515,00;515,20;520,40;520,40;513,80;515,80;516,285;413935;213709158,86;4096;
2018-06-27;521,40;522,00;512,00;521,80;509,80;521,60;517,499;463145;239682245,7;4259;
2018-06-26;512,80;513,20;516,00;516,00;502,80;512,00;510,001;629691;321143097;5902;
2018-06-25;516,20;516,60;523,40;525,80;515,80;516,00;519,347;465036;241517366,1;4297;
2018-06-22;523,00;523,40;534,40;539,20;522,40;523,60;526,294;562832;296217065,9;3466;
2018-06-21;530,00;530,60;537,40;537,60;529,00;531,00;532,318;359802;191526804,59;3645;
2018-06-20;531,80;532,40;521,40;532,40;521,00;532,00;528,795;549204;290379503,16;5300;
