sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-24;387,00;387,30;392,50;395,20;387,00;387,70;390,726;162546;63513837,95;2387;
2018-08-23;392,10;392,40;390,10;393,10;389,60;392,10;391,612;150812;59059675,5;2167;
2018-08-22;390,60;391,10;392,00;393,70;387,70;390,30;390,416;212498;82967702,8;2029;
2018-08-21;391,70;391,90;388,90;395,00;381,20;392,00;389,386;197777;77012267,15;3006;
2018-08-20;389,00;389,30;385,10;392,30;384,20;389,00;388,799;166609;64777548,6;3063;
2018-08-17;381,30;381,80;381,00;384,00;378,50;382,50;381,326;230335;87836958,55;3691;
2018-08-16;380,50;380,70;379,40;383,20;377,60;380,50;379,713;232869;88422969,05;3021;
2018-08-15;376,20;376,40;392,50;392,50;376,10;376,30;382,653;276592;105843607,6;3286;
2018-08-14;391,60;391,70;398,50;399,00;388,50;391,30;392,174;245104;96123918;3234;
2018-08-13;397,80;397,90;403,60;404,20;394,30;397,00;397,493;275776;109619527,9;3224;
2018-08-10;405,20;405,40;418,30;418,60;402,30;404,10;408,113;417818;170522536,7;6448;
2018-08-09;421,10;421,60;411,70;423,30;408,30;420,40;417,418;526646;219829952,1;6446;
2018-08-08;402,00;402,30;420,00;423,80;391,00;403,00;403,028;861041;347042258,68;8546;
2018-08-07;415,00;415,50;411,50;416,70;405,30;414,90;412,539;259274;106960962,3;3515;
2018-08-06;410,60;410,80;410,10;414,10;407,20;410,70;410,965;291298;119711850,75;4049;
2018-08-03;399,10;399,50;408,30;411,80;398,00;399,30;405,467;279194;113206755,9;3510;
2018-08-02;405,60;405,80;412,70;412,70;403,10;407,00;406,481;255767;103963942,75;3103;
2018-08-01;413,70;413,90;419,80;422,00;411,30;413,80;416,324;221872;92372993,45;3583;
2018-07-31;419,20;419,60;411,50;420,00;409,80;419,40;416,403;189406;78869684,85;2362;
2018-07-30;412,60;412,90;410,00;413,10;403,20;412,90;410,083;207424;85061389,6;3623;
2018-07-27;411,20;411,40;408,70;414,10;407,60;411,50;411,104;197373;81141082,6;2982;
2018-07-26;406,50;406,80;399,10;407,60;398,80;407,00;404,764;229935;93065767,7;3032;
2018-07-25;393,40;393,70;394,00;396,60;390,00;394,20;393,703;155952;61398937,35;2478;
2018-07-24;392,30;392,60;388,00;400,90;386,90;392,90;395,213;209750;82893568,55;2772;
2018-07-23;384,50;384,80;384,50;387,00;381,50;385,10;385,321;92989;35830623,34;1398;
2018-07-20;383,90;384,20;385,70;387,40;380,30;384,60;383,776;140909;54077961,45;2332;
2018-07-19;385,60;385,90;389,30;390,60;384,20;385,10;387,185;150102;58116832,03;2172;
2018-07-18;386,90;387,10;383,10;387,40;383,10;386,70;385,733;118992;45898564,6;1747;
2018-07-17;383,50;383,60;375,00;384,90;375,00;384,40;382,324;174491;66710736;2517;
2018-07-16;374,10;374,40;377,30;379,50;374,20;375,50;376,694;133104;50141064,7;1702;
2018-07-13;375,80;376,00;378,80;380,40;375,60;376,50;376,995;160935;60672687,15;2437;
2018-07-12;378,20;378,50;376,00;378,90;372,00;377,50;376,707;232966;87760546,6;2911;
2018-07-11;372,20;372,40;374,70;374,90;366,40;372,40;371,081;238219;88399307,55;2991;
2018-07-10;376,30;376,60;375,70;377,70;371,70;377,60;375,31;161446;60605596,95;1901;
2018-07-09;374,30;374,50;372,00;374,70;370,20;374,00;372,668;169745;63259123,35;2330;
2018-07-06;368,30;368,60;379,00;379,00;367,10;369,40;371,341;203991;75754180,5;2911;
2018-07-05;377,80;378,20;372,00;379,00;371,80;378,50;376,105;311684;117214358,55;3465;
2018-07-04;371,20;371,40;377,10;377,10;368,60;370,70;371,173;167036;61999706,25;2149;
2018-07-03;376,50;376,80;376,80;380,60;374,10;377,20;376,441;173349;65255349,7;2296;
2018-07-02;374,20;374,60;378,30;378,80;372,70;375,00;375,315;168987;63423331,5;2290;
2018-06-29;381,90;382,20;378,50;382,50;377,10;381,90;380,40;290466;110492462,15;3922;
