sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-24;1064,50;1065,50;1067,50;1074,50;1056,00;1066,00;1063,941;80672;85833678;1955;
2018-08-23;1068,50;1069,50;1057,50;1074,00;1057,50;1069,00;1066,725;105862;112926645,75;2124;
2018-08-22;1051,00;1052,00;1035,00;1075,50;1029,50;1053,50;1057,104;188260;199015627,5;4669;
2018-08-21;1040,00;1041,50;1044,50;1049,50;1034,00;1039,50;1041,009;123026;128074563,92;2487;
2018-08-20;1047,50;1049,00;1046,50;1057,50;1038,00;1045,50;1046,676;116387;121825588,25;3087;
2018-08-17;1052,50;1053,50;1053,00;1075,50;1051,00;1052,50;1059,128;95544;101207880,08;2286;
2018-08-16;1051,00;1051,50;1055,50;1055,50;1041,00;1052,00;1047,926;97028;101672470;2453;
2018-08-15;1044,50;1045,00;1069,50;1069,50;1043,50;1044,00;1050,109;120042;126057247;3305;
2018-08-14;1065,00;1066,00;1091,50;1091,50;1062,00;1066,00;1072,126;130456;139866513,5;3217;
2018-08-13;1086,50;1087,50;1060,00;1088,00;1045,50;1085,50;1073,744;106465;114316046,75;2584;
2018-08-10;1062,50;1063,50;1035,00;1064,50;1033,50;1058,50;1057,027;153276;162017375,25;3262;
2018-08-09;1042,00;1043,00;1060,50;1069,50;1013,50;1045,00;1036,392;284886;295255872,25;6004;
2018-08-08;1064,50;1065,00;1073,50;1109,50;1058,50;1060,50;1070,03;144721;154860591,83;3042;
2018-08-07;1076,00;1076,50;1064,50;1086,00;1060,50;1080,00;1078,949;143337;154648993,75;2899;
2018-08-06;1069,50;1070,00;1094,50;1098,50;1068,00;1069,50;1078,928;132938;143438923,67;4236;
2018-08-03;1097,00;1098,00;1103,00;1107,00;1091,50;1094,50;1098,201;76020;83485481;1774;
2018-08-02;1102,00;1103,00;1100,00;1109,00;1094,00;1101,50;1100,772;90525;99646637,25;2359;
2018-08-01;1103,50;1104,50;1100,00;1120,00;1099,50;1104,50;1107,771;171980;190516498,75;4177;
2018-07-31;1092,50;1093,50;1139,00;1141,50;1083,50;1092,00;1103,559;238919;263665825,53;4453;
2018-07-30;1134,50;1135,50;1127,50;1150,50;1126,00;1136,50;1140,857;139013;158587446,75;3134;
2018-07-27;1132,00;1133,00;1141,00;1144,00;1126,50;1129,50;1133,173;192016;217595259,25;3345;
2018-07-26;1144,00;1144,50;1132,00;1147,00;1132,00;1144,00;1142,428;120782;137983804,78;2646;
2018-07-25;1131,50;1132,50;1125,00;1141,50;1118,00;1130,00;1129,283;140551;158725290,25;3463;
2018-07-24;1126,50;1127,50;1123,00;1138,00;1119,50;1128,50;1130,39;122331;138280941,91;2925;
2018-07-23;1121,50;1123,00;1138,00;1140,00;1121,50;1123,00;1129,754;114879;129787941;2192;
2018-07-20;1133,50;1134,50;1124,50;1145,00;1122,00;1136,50;1135,036;129720;147235482,75;3210;
2018-07-19;1124,00;1125,00;1130,00;1133,00;1118,00;1125,00;1124,227;121386;136465420,5;2862;
2018-07-18;1126,50;1127,00;1122,00;1138,50;1118,50;1127,50;1128,316;180503;203665055,75;4128;
2018-07-17;1111,50;1112,50;1095,00;1118,50;1078,50;1115,00;1104,811;301557;333167804,25;6546;
2018-07-16;1091,00;1092,00;1082,00;1093,00;1076,00;1090,00;1086,148;103912;112858895,77;2719;
2018-07-13;1084,00;1084,50;1090,00;1093,00;1078,00;1085,50;1085,079;151650;164552226,25;2699;
2018-07-12;1079,50;1080,00;1063,00;1084,00;1063,00;1082,50;1076,176;159417;171558040,5;3357;
2018-07-11;1055,50;1056,50;1055,00;1060,00;1042,50;1055,50;1052,636;146617;154321370,75;3348;
2018-07-10;1061,50;1062,00;1034,50;1067,50;1032,50;1063,50;1055,907;230439;243300690,07;5362;
2018-07-09;1032,00;1033,00;1026,00;1043,50;1026,00;1030,00;1034,416;84095;86988577,14;2079;
2018-07-06;1023,50;1025,00;1030,00;1046,00;1013,50;1026,00;1032,105;202668;209174680,75;4481;
