sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-24;331,50;331,90;332,70;336,50;327,30;331,90;330,964;472054;156233127,05;3505;
2018-08-23;333,00;333,30;329,60;335,50;328,40;332,70;332,559;716694;238342375,55;5921;
2018-08-22;329,00;329,50;320,00;334,30;315,50;329,40;324,389;1124897;364769782,4;9243;
2018-08-21;307,40;307,70;306,60;308,50;304,20;306,50;307,136;629618;193382771,25;3923;
2018-08-20;306,00;306,30;315,00;317,80;303,20;306,40;307,897;602230;185452364,61;5402;
2018-08-17;314,70;315,00;321,00;321,30;313,30;315,30;316,062;458133;144808789;3553;
2018-08-16;320,80;321,20;311,50;321,90;309,60;320,30;316,146;765169;241972688,65;4972;
2018-08-15;311,10;311,30;323,50;324,00;309,80;311,00;314,086;891383;279925000,45;7065;
2018-08-14;322,80;323,20;325,00;336,70;320,40;323,50;327,714;1173804;384672404,35;9002;
2018-08-13;322,00;322,20;302,20;322,50;301,40;321,50;314,256;809166;254324287,75;6212;
2018-08-10;305,10;305,30;301,00;306,70;294,90;305,10;303,679;802845;243801369,25;5992;
2018-08-09;304,90;305,20;307,90;314,60;304,90;305,00;307,957;819938;252337761,15;5261;
2018-08-08;309,40;309,60;313,20;315,00;308,60;308,80;310,486;469150;145674114,05;3602;
2018-08-07;315,00;315,20;316,00;316,80;314,70;315,40;315,709;352433;111269135,77;2522;
2018-08-06;316,30;316,60;315,40;318,00;315,00;316,50;316,595;571811;180965050,05;3109;
2018-08-03;315,20;315,50;314,10;319,00;312,20;314,40;315,908;626025;197762801,3;4762;
2018-08-02;310,80;311,20;308,80;312,90;308,10;311,50;311,075;361948;112594279,9;2421;
2018-08-01;308,80;309,10;304,00;312,10;304,00;309,20;309,578;321621;99566917,3;2515;
2018-07-31;303,90;304,10;311,10;311,70;301,50;304,00;304,269;669188;203617128,9;2938;
2018-07-30;307,70;308,00;308,80;311,70;307,40;308,10;308,845;219049;67650811,45;2004;
2018-07-27;309,00;309,30;308,50;310,40;307,80;309,10;309,164;284169;87854597;2084;
2018-07-26;310,30;310,50;307,00;310,70;305,40;310,20;308,061;408280;125770269,83;2990;
2018-07-25;305,80;306,10;303,00;306,60;302,00;305,80;304,989;312673;95361116,9;2451;
2018-07-24;303,00;303,30;303,60;307,00;301,60;304,00;304,515;302795;92202896,95;2594;
2018-07-23;301,30;301,60;302,00;303,70;300,80;301,40;302,245;246467;74495581,6;1678;
2018-07-20;302,80;303,00;303,00;305,80;301,00;303,00;303,218;302411;91697401,04;2117;
2018-07-19;302,90;303,10;299,40;304,00;297,80;302,70;301,796;335399;101205140,9;2152;
2018-07-18;298,10;298,20;297,70;301,70;296,30;297,50;298,554;385782;115215489,1;2661;
2018-07-17;297,80;298,00;292,60;298,00;292,50;298,00;296,205;475293;140780564,65;2648;
2018-07-16;291,70;291,90;289,20;293,80;289,20;292,10;291,964;334800;97749005,6;2673;
2018-07-13;288,50;288,70;292,50;293,40;288,40;288,70;290,123;428865;124433827,6;3547;
2018-07-12;291,80;292,10;288,30;292,80;287,10;292,30;290,516;437146;126994845,3;4069;
2018-07-11;285,90;286,20;291,80;292,10;285,40;286,70;288,351;422665;121885468,15;2794;
2018-07-10;295,10;295,30;294,70;297,30;293,50;295,00;295,639;411158;121548097,85;2851;
2018-07-09;294,80;294,90;295,20;297,80;294,30;294,50;295,445;358144;105813438,3;2956;
2018-07-06;293,80;294,00;294,10;296,40;291,80;294,30;293,772;482711;141803631,64;3440;
2018-07-05;293,60;293,80;292,50;295,60;292,20;294,30;294,00;302107;88817469,93;2124;
2018-07-04;291,50;291,80;294,00;295,60;290,80;292,50;293,077;394290;115559425;2729;
2018-07-03;289,80;289,90;292,80;297,70;289,60;290,50;291,326;354079;103153688,7;2636;
2018-07-02;289,40;289,60;288,40;290,90;287,30;289,90;289,454;327092;94678996,55;2550;
2018-06-29;291,10;291,30;287,50;293,10;286,00;290,80;290,939;598273;174067504,45;4789;
2018-06-28;284,50;284,80;290,60;292,80;283,20;285,20;287,229;626515;179946158,7;4887;
2018-06-27;291,00;291,30;288,90;292,70;282,00;291,90;288,363;615928;177607018,9;4996;
2018-06-26;289,30;289,50;290,80;291,40;285,50;289,10;289,382;694490;200966701,05;4262;
2018-06-25;291,20;291,30;293,60;295,70;291,00;291,00;292,904;392626;115000764,15;3075;
2018-06-22;292,70;293,00;293,00;296,20;288,80;293,60;293,469;550513;161553700,35;4502;
2018-06-21;293,70;294,00;290,80;294,30;288,30;293,30;292,383;582026;170173280,1;3965;
2018-06-20;290,20;290,30;288,30;293,80;287,40;290,80;289,914;468922;135943700,35;3325;
2018-06-19;285,90;286,20;281,20;287,10;279,30;287,10;284,654;491240;139811778,2;3267;
2018-06-18;284,40;284,60;283,50;288,60;281,40;283,90;285,073;686896;195814615,44;4437;
2018-06-15;284,20;284,40;282,00;284,80;279,30;284,30;283,10;1225936;347042506,65;6518;
2018-06-14;280,90;281,20;261,60;286,70;261,50;282,00;275,258;1393630;383587606,7;8164;
2018-06-13;251,00;251,20;249,40;255,20;249,40;251,40;252,302;323597;81641614,4;1916;
2018-06-12;249,30;249,50;247,70;250,30;247,70;249,60;249,447;208574;52027631,53;1517;
2018-06-11;247,80;248,10;245,70;248,70;245,70;247,40;247,709;217386;53848514,8;1585;
2018-06-08;245,10;245,20;248,50;248,50;242,90;245,20;245,698;499694;122776581,05;3218;
2018-06-07;249,10;249,30;251,40;252,00;249,20;249,40;250,525;252507;63260886;1557;
2018-06-06;250,60;250,80;248,00;253,60;245,60;251,00;251,12;443382;111327850,2;3053;
2018-06-04;248,80;249,00;246,10;249,30;246,10;248,70;248,283;275659;68439658,44;1459;
2018-06-01;245,20;245,40;242,90;246,80;242,00;244,80;245,288;346836;85075910,3;2127;
2018-05-31;242,90;243,10;245,00;247,30;242,80;243,10;244,185;550332;134386482,8;2751;
2018-05-30;244,60;244,80;240,40;245,10;240,40;245,00;243,972;332079;81014176,65;2627;
2018-05-29;241,10;241,20;242,50;243,20;239,00;241,30;240,907;414312;99887124,98;2302;
2018-05-28;243,20;243,40;246,10;246,10;242,80;243,20;243,861;186608;45509515,55;1267;
2018-05-25;245,30;245,40;241,00;246,20;241,00;245,50;245,131;336008;82365945,6;2077;
2018-05-24;240,80;241,00;239,30;243,70;239,30;240,60;241,516;290262;70103719,85;1812;
2018-05-23;238,20;238,40;239,10;239,60;236,90;238,70;238,49;428649;102229565,6;2366;
2018-05-22;239,50;239,60;241,60;242,50;238,50;239,80;240,084;476408;114383961,65;3066;
2018-05-18;241,20;241,30;242,60;244,10;240,70;240,70;241,725;350103;84629564,7;2231;
2018-05-17;242,50;242,60;243,30;243,60;240,00;242,60;242,601;490239;118935974,88;2709;
2018-05-16;243,20;243,40;244,50;246,30;236,50;243,30;242,141;820079;198551868,65;4959;
2018-05-15;245,20;245,50;246,90;248,80;244,20;245,10;246,236;437228;107661775,19;2945;
2018-05-14;247,10;247,40;246,00;248,70;244,40;247,00;246,286;703878;173351536,91;4469;
2018-05-09;244,80;245,00;242,50;246,00;242,50;245,40;244,964;442416;108375808,9;2919;
2018-05-08;242,90;243,10;244,30;244,50;241,40;243,20;242,864;590911;143554747,85;2991;
2018-05-07;243,60;243,70;239,90;244,60;239,40;244,30;242,908;434925;105645927,55;2516;
2018-05-04;239,20;239,50;237,00;241,50;235,70;238,90;239,29;795851;190461493,58;3711;
2018-05-03;235,80;236,00;235,50;237,50;232,30;235,90;236,001;847107;199919738;4694;
2018-05-02;236,80;236,90;226,80;241,90;225,40;236,50;234,428;1608203;377002775,95;10041;
2018-05-01;221,80;221,90;217,30;222,00;217,10;221,10;220,652;281637;62140251,23;1426;
2018-04-30;217,20;217,50;217,10;217,90;215,40;217,40;216,853;504590;109408890,6;2343;
2018-04-26;215,60;215,70;211,10;216,10;210,20;215,30;214,146;444512;95190484,9;2844;
2018-04-25;210,50;210,80;212,20;212,60;209,40;211,00;210,861;300498;63363512,9;2049;
2018-04-24;213,00;213,20;213,10;214,60;211,60;212,90;212,756;391913;83382067,3;2192;
2018-04-23;212,40;212,60;211,30;212,90;210,90;212,70;212,072;409466;86763204,05;2297;
2018-04-20;210,80;211,00;211,80;211,80;209,70;210,70;210,608;398439;83905622,8;2338;
2018-04-19;210,70;210,90;213,50;214,40;210,70;211,40;211,908;302067;64010261,8;1775;
2018-04-18;214,40;214,60;213,80;214,90;212,50;213,90;213,93;186239;39842150;711;
2018-04-17;212,50;212,70;210,40;213,80;207,70;213,80;211,716;498902;105625437,5;2536;
2018-04-16;209,70;210,00;209,00;212,20;209,00;209,70;210,393;339024;71328097;2289;
2018-04-13;207,90;208,10;210,20;210,20;207,10;207,80;208,516;387326;80764576,35;2343;
2018-04-12;208,40;208,50;204,10;208,90;203,70;208,70;207,007;286239;59253369,5;1574;
2018-04-11;203,10;203,30;204,90;206,40;201,30;203,20;203,184;526192;106914160,55;2251;
2018-04-10;204,70;205,00;205,00;205,20;203,30;204,80;204,312;325583;66520355;2521;
2018-04-09;202,80;203,10;202,90;206,30;202,40;202,60;203,372;356460;72496096,45;2050;
2018-04-06;202,50;202,70;204,50;204,90;202,00;202,50;202,929;551694;111955617,85;2885;
2018-04-05;204,40;204,60;204,60;206,40;203,10;204,90;204,921;482375;98848503,6;2929;
2018-04-04;202,00;202,10;210,50;210,50;201,40;202,10;203,622;779389;158699627,9;4264;
2018-04-03;212,30;212,60;213,90;214,60;211,50;212,60;212,59;390418;82998774,6;2508;
2018-03-28;213,00;213,20;211,80;214,10;211,30;213,40;212,91;526869;112174963,85;2784;
2018-03-27;212,70;212,90;212,00;214,40;211,70;212,50;212,587;659810;140266862;3208;
2018-03-26;211,70;211,90;213,60;218,00;211,50;211,50;212,915;410434;87387671,6;2479;
2018-03-23;213,40;213,60;211,90;215,50;209,30;213,60;212,747;381882;81242097,45;3144;
2018-03-22;214,10;214,40;217,50;218,50;214,20;214,20;215,908;343827;74236291,4;2477;
2018-03-21;218,10;218,40;220,40;221,10;217,60;218,10;218,948;513546;112425375,85;2854;
2018-03-20;220,30;220,50;221,20;221,40;219,10;220,30;220,325;182983;40315708,1;1281;
2018-03-19;220,20;220,40;221,80;221,80;218,90;220,30;220,533;330303;72843251,41;2051;
2018-03-16;222,00;222,10;223,10;224,30;221,50;221,80;222,369;528800;117591248,7;2549;
2018-03-15;223,30;223,50;222,20;223,90;219,10;223,10;221,31;722074;159794781,55;2631;
2018-03-14;222,50;222,60;220,70;224,00;220,10;221,80;222,493;417409;92871483,95;2402;
2018-03-13;222,50;222,60;222,90;224,40;221,70;222,00;223,20;642296;143360627,55;3077;
2018-03-12;222,40;222,60;220,20;222,60;218,60;222,60;221,241;659804;145859544,5;3127;
2018-03-09;219,90;220,00;218,60;220,70;217,30;220,20;219,928;744027;163632224,67;3187;
2018-03-08;218,50;218,80;212,00;218,70;212,00;218,30;215,949;549812;118733990,7;3175;
2018-03-07;212,00;212,20;208,10;212,30;207,00;212,10;210,055;534461;112275855,66;2602;
2018-03-06;208,80;209,00;209,30;209,90;208,40;208,40;208,914;425008;88790320,9;2548;
2018-03-05;207,70;207,90;206,10;208,80;206,00;207,80;207,731;362269;75254662;2581;
2018-03-02;206,10;206,30;206,60;207,30;204,00;206,80;205,592;627088;128904106,85;3959;
2018-03-01;208,00;208,20;211,00;212,40;207,20;207,80;209,107;638309;133513171,6;3775;
2018-02-28;211,90;212,10;212,60;213,50;210,70;211,50;211,979;490702;104018558,7;2865;
2018-02-27;213,70;214,00;218,00;218,00;213,80;214,00;215,213;574121;123650377,8;3137;
