sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-24;226,40;226,70;227,10;227,50;225,40;226,40;226,416;399437;90439272,95;1971;
2018-08-23;227,00;227,30;223,30;228,20;222,60;226,70;226,326;416150;94186224,29;2265;
2018-08-22;223,70;224,00;223,50;227,60;223,20;223,90;225,488;717003;161736059,2;3156;
2018-08-21;223,20;223,40;223,10;224,20;219,40;223,40;223,299;1481876;330866079,8;3448;
2018-08-20;222,60;222,80;215,00;223,10;213,40;223,10;220,354;1412530;310448908,11;4961;
2018-08-17;215,40;215,70;217,00;217,00;211,20;215,00;214,176;561309;120214968,8;2877;
2018-08-16;216,20;216,80;224,80;229,10;207,10;217,60;217,151;1585735;344428262,65;8439;
2018-08-15;226,20;226,40;231,60;231,70;225,00;226,40;226,734;415381;94141275,1;2417;
2018-08-14;228,70;229,00;235,00;235,30;228,60;228,70;230,172;387439;89220884,45;1756;
2018-08-13;233,60;233,90;231,90;234,50;228,60;233,50;232,326;360236;83689546,45;2084;
2018-08-10;231,40;231,60;236,10;236,50;231,40;232,00;233,203;364381;84981791,1;2194;
2018-08-09;237,00;237,20;238,60;238,90;236,90;236,90;237,521;633715;150561147,4;2008;
2018-08-08;237,80;237,90;237,10;238,30;236,40;238,30;237,424;229186;54414023,6;1334;
2018-08-07;236,50;236,60;236,60;237,30;235,60;237,10;236,812;230501;54584920,35;1878;
2018-08-06;236,70;236,90;236,00;238,30;235,80;236,70;236,898;230638;54637460,6;1936;
2018-08-03;235,20;235,40;237,00;237,50;235,30;235,30;235,782;295296;69628153,4;1860;
2018-08-02;235,20;235,40;237,80;238,40;235,30;235,40;236,235;234278;55350159,85;1527;
2018-08-01;238,70;238,80;238,20;240,90;237,10;238,70;239,035;367872;87935214,4;2576;
2018-07-31;237,50;237,60;237,80;238,20;235,50;238,20;237,477;373085;88597878,55;2162;
2018-07-30;237,10;237,20;235,40;238,50;234,20;237,60;237,444;283568;67330301,85;1994;
2018-07-27;235,20;235,30;233,00;236,10;232,40;236,10;235,223;267113;62821426,95;1535;
2018-07-26;232,00;232,20;230,00;233,10;229,90;232,50;231,928;278061;64488115,65;1610;
2018-07-25;229,10;229,30;226,00;229,50;226,00;229,30;228,616;435651;99592262,2;2011;
2018-07-24;226,20;226,40;228,30;229,50;226,00;226,90;227,686;389357;88651402,15;2907;
2018-07-23;228,20;228,40;228,90;229,60;227,50;228,30;228,579;176944;40446566,5;1378;
2018-07-20;228,70;228,90;229,40;232,70;227,60;228,80;229,777;474729;109082414,44;3112;
2018-07-19;227,80;227,90;223,40;229,10;223,30;227,70;227,301;461786;104960653;2762;
2018-07-18;222,70;222,80;223,50;223,80;222,20;223,00;223,011;199934;44587773,15;1291;
2018-07-17;222,50;222,70;222,80;223,80;222,00;222,60;222,773;405089;90254441,05;1358;
2018-07-16;222,50;222,70;224,70;225,40;222,00;223,00;223,128;254277;56735553;1477;
2018-07-13;224,50;224,70;224,90;225,60;224,00;224,70;224,783;252075;56662850,3;1330;
2018-07-12;224,70;224,90;224,50;225,60;222,80;224,50;224,356;231646;51971900,35;1470;
2018-07-11;224,20;224,40;224,20;225,00;223,00;224,00;224,04;248966;55779446,65;1389;
2018-07-10;225,50;225,70;222,90;225,80;221,80;225,60;224,685;233020;52354267,35;1361;
2018-07-09;222,40;222,50;221,10;222,60;219,80;222,60;221,822;214272;47524373,15;1575;
2018-07-06;219,90;220,00;217,20;220,20;216,40;220,20;219,247;334876;73419333,3;1772;
2018-07-05;216,60;216,80;219,00;220,90;216,10;216,80;217,228;463025;100577283,35;2338;
2018-07-04;214,70;214,90;217,20;217,20;214,60;215,20;215,546;148610;32033194,1;1003;
2018-07-03;218,20;218,50;216,90;219,40;216,40;218,20;218,117;417754;91117527,95;1932;
2018-07-02;216,20;216,30;217,00;218,40;215,30;216,30;216,213;273625;59160983,35;1690;
2018-06-29;219,40;219,60;218,10;220,40;216,80;219,30;219,147;341230;74778759,3;1444;
2018-06-28;216,10;216,20;218,70;220,30;215,80;216,00;216,828;251846;54607040,95;1383;
2018-06-27;219,20;219,40;219,50;220,50;216,00;219,50;218,939;506544;110889441,05;2816;
2018-06-26;219,60;219,70;222,00;222,60;218,90;219,30;219,824;327540;72009631,5;1613;
2018-06-25;222,40;222,60;224,40;225,10;222,10;222,30;223,055;275367;61424035,45;1814;
2018-06-22;224,20;224,40;221,40;225,10;221,40;224,50;224,039;239159;53567684,85;1674;
