sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-24;332,40;332,60;335,00;338,00;332,30;332,60;334,783;355258;118875660,65;3598;
2018-08-23;334,80;335,00;336,30;336,30;331,80;334,20;333,62;380348;126889553,75;4135;
2018-08-22;335,90;336,20;353,00;353,00;335,00;335,60;338,183;999449;338012151,25;10405;
2018-08-21;353,90;354,40;355,00;359,20;350,10;354,90;353,802;374722;132558222,9;4168;
2018-08-20;350,20;350,40;346,50;354,50;346,50;349,00;350,98;196189;68863442,8;2035;
2018-08-17;345,00;345,30;344,90;348,60;342,90;344,80;345,203;125154;43206884;1596;
2018-08-16;345,80;346,00;345,60;347,80;343,40;345,40;345,307;146139;50462468,95;1810;
2018-08-15;344,40;344,60;345,70;347,60;342,10;344,50;344,559;175065;60355994,35;1941;
2018-08-14;346,90;347,20;353,40;354,40;344,40;345,70;347,763;209390;72821082,7;2519;
2018-08-13;353,50;353,70;353,30;354,10;350,00;353,70;352,229;180872;63708010,8;2345;
2018-08-10;354,60;354,90;353,70;357,20;350,60;354,80;354,207;214827;76094178,2;2810;
2018-08-09;356,70;356,90;356,10;357,90;352,40;356,80;356,154;141028;50227558,75;2661;
2018-08-08;356,60;356,80;357,80;357,80;354,00;356,70;355,46;144484;51358201,05;1906;
2018-08-07;355,90;356,00;351,10;356,70;349,50;356,30;354,137;198144;70167137,4;2384;
2018-08-06;350,30;350,50;356,90;357,30;349,10;350,00;350,992;171926;60345759,9;2486;
2018-08-03;357,40;357,70;356,00;359,70;355,60;356,80;357,842;92079;32949912,15;1131;
2018-08-02;357,30;357,50;362,00;362,80;356,50;357,00;357,622;125946;45041103,65;1803;
2018-08-01;361,80;362,10;361,90;364,00;359,40;362,00;361,46;157914;57079390,5;1901;
2018-07-31;360,20;360,50;358,60;362,00;358,60;360,70;360,80;326019;117627653,25;2242;
2018-07-30;359,20;359,50;360,10;361,30;358,60;359,90;359,81;130545;46971179,25;1759;
2018-07-27;359,90;360,00;359,30;362,50;359,30;360,10;360,683;136581;49263090,9;1509;
2018-07-26;358,60;358,90;361,50;362,60;357,80;359,30;359,409;150693;54161115,25;1688;
2018-07-25;360,30;360,60;359,30;362,30;358,80;360,40;360,707;160970;58063127,5;2084;
2018-07-24;358,60;358,90;351,50;359,30;350,60;359,30;356,885;226746;80920573,55;2596;
2018-07-23;350,00;350,20;348,10;351,40;347,20;350,40;349,745;165614;57921593,75;2225;
2018-07-20;347,90;348,10;348,50;349,20;345,80;348,10;347,816;127599;44381151,3;1700;
2018-07-19;349,70;350,00;346,20;353,00;346,20;349,20;350,033;191422;67005123,75;2879;
