sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-27;373,80;374,10;376,80;378,80;372,70;372,70;374,478;198563;74359593,45;1772;
2018-08-24;375,30;375,50;378,00;379,70;373,60;375,50;376,021;265708;99912898,15;3201;
2018-08-23;378,00;378,20;381,60;385,20;377,10;378,50;380,385;328333;124891310,65;3379;
2018-08-22;383,00;383,40;383,70;385,50;378,00;382,70;382,182;285000;108921513,15;3192;
2018-08-21;384,40;384,70;375,70;387,70;375,10;385,00;383,202;457479;175304488,4;4390;
2018-08-20;376,10;376,40;382,50;382,50;374,50;377,30;377,009;318740;120168182,05;3147;
2018-08-17;379,90;380,30;383,70;383,70;375,20;380,10;379,622;298827;113439032,37;4225;
2018-08-16;383,10;383,50;378,90;384,20;376,40;382,30;380,134;408928;155441488,1;4722;
2018-08-15;376,30;376,70;375,00;380,30;374,00;376,80;377,263;381489;143921856,15;5012;
2018-08-14;373,60;374,00;375,30;379,80;370,80;372,50;374,64;685838;256946265,4;7612;
2018-08-13;372,80;373,00;361,00;380,90;357,40;373,10;371,859;664208;246989316,6;7888;
2018-08-10;360,70;361,00;375,80;375,80;361,00;364,10;369,386;691401;255400438,81;6563;
2018-08-09;375,50;375,80;378,50;379,80;360,70;375,00;370,059;1234464;456818821,62;12755;
2018-08-08;383,00;383,40;425,00;425,00;380,00;380,30;392,893;1506314;591850210,8;16444;
2018-08-07;442,60;442,80;455,60;455,60;442,40;443,70;445,675;454517;202567996,96;7046;
2018-08-06;454,70;455,00;459,00;465,90;448,40;455,00;456,816;434244;198367205,85;6290;
2018-08-03;471,00;471,30;474,30;474,30;467,80;470,50;470,125;186017;87449805,6;2196;
2018-08-02;471,90;472,20;466,70;476,40;466,70;472,30;472,693;223651;105718320,1;2949;
2018-08-01;467,00;467,30;461,20;468,40;460,20;467,20;465,096;150772;70115703,9;2378;
2018-07-31;461,70;462,00;460,90;466,60;459,30;461,30;461,976;296835;137131424,25;3388;
2018-07-30;461,00;461,20;466,20;467,20;460,50;460,50;462,483;115430;53387225,45;1555;
2018-07-27;466,00;466,30;457,60;468,10;457,30;465,80;464,96;179560;83485127,35;3191;
2018-07-26;459,20;459,60;465,70;466,30;456,60;459,10;459,943;188419;86664431,05;2327;
2018-07-25;462,20;462,60;458,30;464,90;456,40;462,90;461,861;164130;75803215;2954;
2018-07-24;458,60;458,90;461,10;462,70;455,70;460,00;459,01;169180;77652735,28;2111;
2018-07-23;459,60;459,90;464,90;466,10;456,00;459,40;459,399;206381;94810617,5;2868;
2018-07-20;465,60;465,90;448,00;468,20;448,00;467,00;462,418;215000;99374205,1;2654;
2018-07-19;447,90;448,20;448,80;453,10;440,20;448,00;446,639;186236;83180555,2;2514;
2018-07-18;448,70;449,00;450,70;458,70;447,70;448,60;450,791;187153;84372013,8;2438;
2018-07-17;447,00;447,20;444,70;449,90;443,30;448,30;446,882;203613;90989573,7;2553;
2018-07-16;443,90;444,20;442,70;445,80;441,40;444,00;443,558;123966;54985570,55;1528;
2018-07-13;441,10;441,50;449,90;450,00;441,20;442,20;443,218;214900;95248426,6;2139;
2018-07-12;447,40;447,80;440,20;448,60;439,40;448,60;446,901;183198;81867631,55;2264;
2018-07-11;437,90;438,30;440,10;441,30;436,40;438,90;438,683;173693;76198809,5;2093;
2018-07-10;442,10;442,20;441,80;446,40;440,80;442,90;443,066;225479;99902949,9;2193;
2018-07-09;441,00;441,30;444,80;448,40;440,40;440,40;442,817;176013;77953339,15;2308;
2018-07-06;443,30;443,70;434,80;443,90;434,10;443,90;441,617;227633;100524432,15;2444;
2018-07-05;435,60;435,90;437,00;442,00;434,40;436,60;436,897;220105;96163226,5;2462;
2018-07-04;437,30;437,60;441,20;444,50;435,50;438,30;439,183;214832;94370888,35;2649;
2018-07-03;442,00;442,10;435,50;443,60;435,50;441,20;440,166;333745;146899426,38;3670;
2018-07-02;433,70;434,00;442,80;443,50;433,20;434,30;435,451;367220;159906991,4;5070;
2018-06-29;450,00;450,40;438,50;451,90;438,50;448,40;448,739;382573;171674882,9;4065;
2018-06-28;436,30;436,70;453,70;457,30;435,30;436,90;441,406;458482;202394870,55;5975;
2018-06-27;458,80;459,20;450,70;463,40;450,70;458,70;457,968;393555;180237486,15;5315;
2018-06-26;451,70;451,90;462,00;462,50;447,70;450,70;453,241;416746;188892345,2;4959;
2018-06-25;461,00;461,20;473,20;474,10;461,00;462,50;464,849;261901;121749579,54;3480;
2018-06-22;473,00;473,30;470,00;475,30;467,00;474,10;472,319;147992;69899305,7;2217;
2018-06-21;470,10;470,30;470,50;474,00;466,20;470,00;470,187;257075;120874946,3;2606;
2018-06-20;469,90;470,20;466,70;471,30;465,80;470,60;469,334;281049;131902593,15;3558;
2018-06-19;464,80;465,00;468,60;471,70;463,90;465,80;466,499;215818;100678181,2;2138;
2018-06-18;470,20;470,50;474,10;475,20;466,50;470,30;469,957;297144;139642854,65;3804;
2018-06-15;477,00;477,50;459,40;477,70;456,20;475,90;471,881;450692;212661980,45;4812;
2018-06-14;459,00;459,20;450,30;460,50;450,30;459,40;457,346;239189;109385898;2611;
2018-06-13;452,50;452,90;448,00;456,70;446,80;452,40;453,277;316129;143297078,6;2830;
2018-06-12;448,10;448,50;453,80;460,20;447,40;450,00;451,785;299437;135283078,3;3408;
2018-06-11;453,80;454,20;455,00;457,20;450,10;453,60;453,714;280187;127128415,35;3132;
2018-06-08;450,30;450,80;442,40;452,10;437,50;450,90;447,021;294782;131763909,1;3031;
2018-06-07;443,60;444,30;448,00;448,60;440,10;443,80;444,522;307765;136808450,05;3574;
2018-06-06;447,50;447,90;443,70;452,70;442,70;448,20;448,126;362029;162235172,05;4795;
2018-06-04;446,30;446,80;449,50;453,40;445,60;446,60;447,996;276895;124053121,33;3473;
2018-06-01;446,00;446,20;440,00;449,80;440,00;447,20;446,222;391879;174864160,2;3989;
2018-05-31;447,40;447,50;446,00;452,20;442,40;449,10;448,56;768316;344633053,15;4242;
2018-05-30;444,40;444,70;434,60;445,60;431,40;445,40;441,854;335297;148146724,3;3791;
2018-05-29;434,40;434,60;431,80;437,80;429,30;434,80;434,228;315411;136959192,3;3917;
2018-05-28;432,50;432,70;434,00;436,00;429,10;433,30;433,069;178381;77250678,75;2575;
2018-05-25;432,10;432,40;429,50;434,50;429,50;434,40;432,485;438224;189505520,5;4852;
2018-05-24;428,60;428,90;425,50;431,70;425,50;428,40;429,006;215200;92322852,55;2778;
2018-05-23;425,60;426,00;423,00;430,60;417,50;425,50;425,066;470999;200203747;3615;
2018-05-22;423,20;423,40;426,50;428,50;418,90;423,20;423,353;343759;145529719,99;4306;
2018-05-18;425,20;425,60;421,60;427,20;419,90;426,40;424,532;247056;104874248,5;2383;
2018-05-17;421,00;421,20;415,30;422,90;413,40;421,60;420,465;308421;129682809,7;3466;
2018-05-16;417,80;418,10;408,00;418,80;406,80;418,30;414,648;321061;133119718,54;3729;
2018-05-15;408,80;409,10;408,00;413,90;403,00;408,40;408,898;720620;294516579,9;7786;
2018-05-14;410,60;411,00;409,00;413,90;405,00;409,90;410,318;533406;218874178;5167;
2018-05-09;411,40;411,60;402,00;413,30;393,30;411,30;405,768;908711;368730570,9;10013;
2018-05-08;401,20;401,40;391,50;403,10;386,00;403,10;394,863;1180288;465989684,05;11251;
2018-05-07;371,30;371,60;370,50;373,50;365,00;372,20;371,653;247981;92161116,4;2226;
2018-05-04;369,10;369,40;365,00;371,30;364,20;369,20;368,51;299459;110352265,53;3140;
2018-05-03;365,20;365,40;371,80;385,00;364,30;365,00;370,417;523418;193886966,95;5247;
2018-05-02;363,70;363,90;357,70;365,00;356,60;364,30;363,177;308655;112091748,2;3366;
2018-05-01;356,20;356,70;359,00;361,30;352,80;357,00;356,82;166118;59273792,55;1787;
2018-04-30;359,00;359,30;354,50;363,80;352,00;359,00;359,385;444823;159873442,85;4806;
2018-04-26;351,50;351,70;347,90;352,70;343,70;352,50;349,939;302132;105729153,55;3090;
2018-04-25;349,00;349,30;345,10;349,90;343,70;348,50;348,194;308602;107453629,35;3498;
2018-04-24;345,40;345,60;345,10;349,20;341,50;345,20;346,323;288299;99844902;3063;
2018-04-23;344,10;344,40;343,90;349,30;341,60;344,00;344,275;242468;83477053,04;2912;
2018-04-20;344,10;344,40;347,00;347,00;342,00;343,50;344,116;281124;96739367,6;2629;
2018-04-19;347,70;348,00;348,00;350,00;346,00;347,90;347,768;264022;91818385,2;2466;
2018-04-18;347,40;347,50;342,50;349,50;340,20;348,10;346,54;183195;63478169,8;1263;
2018-04-17;343,40;343,70;341,30;345,40;339,60;343,40;343,268;212208;72782189,81;1694;
2018-04-16;340,50;340,80;340,60;347,50;339,20;340,40;342,619;305119;104539559,2;2989;
2018-04-13;340,50;340,80;344,60;347,20;340,10;340,10;342,693;255946;87710908,3;2196;
2018-04-12;344,20;344,50;346,20;349,80;344,40;344,60;345,95;348968;120725680,3;3353;
2018-04-11;344,80;345,00;349,00;350,00;342,60;344,50;345,406;236747;81780296,5;2314;
2018-04-10;348,70;349,00;348,60;351,20;347,80;348,70;349,011;257766;89963799,9;2341;
2018-04-09;347,00;347,30;346,10;348,60;344,40;346,30;346,452;225288;78051372,9;2365;
2018-04-06;345,90;346,10;346,10;350,30;343,40;345,20;346,146;300664;104073538,9;3226;
2018-04-05;345,70;346,00;345,20;350,80;342,10;346,10;346,287;387144;134062392,5;3985;
2018-04-04;340,70;341,00;338,30;344,00;338,00;341,00;341,105;541656;184761687,9;6382;
2018-04-03;337,60;338,00;338,00;344,70;336,70;336,70;338,06;666499;225316346,1;5298;
2018-03-28;337,90;338,20;338,10;340,70;333,50;337,80;337,673;418305;141250574,72;3228;
2018-03-27;337,70;337,90;338,30;342,40;336,80;338,10;339,35;341936;116035373,65;3891;
2018-03-26;336,40;336,70;334,10;340,70;334,10;335,50;337,326;315451;106409975;2889;
2018-03-23;334,20;334,50;325,00;336,60;323,40;334,00;332,251;470242;156239687,35;3790;
2018-03-22;329,90;330,30;335,90;338,30;329,40;331,10;333,564;292522;97574808,1;3121;
2018-03-21;336,30;336,50;337,00;343,80;335,70;336,60;338,873;490396;166273961,8;4210;
2018-03-20;343,60;344,00;345,90;347,30;337,00;344,20;343,325;344983;118441391,4;3725;
2018-03-19;345,90;346,10;341,80;349,50;340,20;345,40;345,879;387072;133880170,3;3451;
2018-03-16;340,00;340,40;343,30;343,30;338,00;341,60;340,982;512559;174773063,9;3250;
2018-03-15;342,50;342,80;342,00;343,30;336,00;342,60;340,438;278255;94711031,3;2821;
2018-03-14;341,90;342,20;342,80;345,90;341,00;341,40;342,718;343222;117631623,25;3915;
2018-03-13;343,10;343,40;337,60;344,90;336,30;342,80;342,333;473253;162010188,1;4172;
2018-03-12;337,90;338,10;339,40;339,70;334,00;337,60;337,63;292275;98680782,8;2793;
2018-03-09;338,80;338,90;333,20;340,40;332,40;339,20;337,38;394074;132953162,45;4394;
2018-03-08;334,60;334,90;324,30;335,80;324,20;333,80;331,281;410142;135872388;3693;
2018-03-07;324,30;324,40;323,70;325,20;321,90;325,00;324,504;338805;109943769,8;3123;
2018-03-06;323,30;323,60;328,00;328,40;323,10;324,20;324,418;404148;131112810,8;3737;
2018-03-05;326,20;326,40;319,10;327,10;318,60;325,40;324,49;394508;128013991,2;3031;
2018-03-02;319,90;320,20;321,40;323,90;318,10;319,80;319,966;285992;91507489,9;3050;
2018-03-01;323,90;324,10;321,90;325,60;318,70;323,80;323,34;434658;140569776,8;3494;
2018-02-28;321,50;321,80;322,40;324,80;320,70;320,70;321,564;327491;105309841,1;2327;
2018-02-27;323,30;323,40;325,40;325,40;319,10;323,20;322,646;284977;91947235,4;3077;
2018-02-26;324,40;324,80;319,70;326,50;319,40;325,30;323,666;378393;122473084,1;3540;
2018-02-23;318,30;318,60;324,50;324,70;315,10;319,10;318,222;382291;121655407,1;3771;
2018-02-22;323,20;323,50;326,00;326,20;319,20;323,10;322,293;488300;157375810,95;4740;
2018-02-21;326,40;326,50;320,30;327,70;317,50;326,50;324,166;278753;90362266,3;2635;
2018-02-20;320,90;321,20;320,10;323,10;314,70;321,10;320,002;309390;99018410,58;2426;
2018-02-19;320,40;320,70;325,20;326,70;319,50;320,00;321,669;193209;62149873;1963;
2018-02-16;323,10;323,40;321,90;326,70;320,00;324,00;324,204;248601;80597922,78;2918;
2018-02-15;319,00;319,20;320,50;324,50;318,60;319,80;321,281;457006;146937004,1;3508;
2018-02-14;316,40;316,80;312,00;318,80;310,00;317,40;315,312;433797;136781657,7;4108;
2018-02-13;311,30;311,60;313,40;316,00;309,00;311,40;312,125;461559;144064142,1;6532;
2018-02-12;313,20;313,50;307,90;317,10;304,00;313,30;311,435;591623;184250479,85;5916;
2018-02-09;303,50;304,00;297,30;311,10;290,10;303,00;304,193;732275;222752421;6791;
2018-02-08;298,00;298,30;294,10;304,90;293,40;298,70;299,963;915223;274533027,95;8509;
2018-02-07;289,60;290,20;312,00;312,80;280,80;290,00;296,622;1311438;389015683,88;12026;
2018-02-06;299,90;300,10;285,80;305,00;285,00;299,20;298,442;690792;206170207,75;7325;
2018-02-05;301,80;302,00;300,60;302,30;295,70;301,40;300,122;362726;108860306,5;3751;
2018-02-02;302,10;302,40;309,40;309,40;299,80;301,20;301,909;464005;140542942;4244;
2018-02-01;308,70;308,90;305,20;311,20;305,00;309,00;309,102;424756;131293077;4829;
2018-01-31;304,70;305,00;309,00;314,30;304,60;305,60;309,163;436233;134867532,93;4294;
2018-01-30;308,90;309,10;316,30;319,20;309,00;309,30;313,127;475887;149012824,2;4231;
2018-01-29;315,80;316,00;317,20;318,70;315,40;316,70;316,874;213126;67534541,35;1908;
2018-01-26;318,00;318,20;315,10;319,30;314,30;318,10;317,196;310315;98430512,15;3016;
2018-01-25;315,60;315,90;319,70;319,70;313,20;315,00;315,217;416019;131136665,2;4171;
2018-01-24;319,10;319,30;322,30;324,60;317,00;319,70;320,84;544973;174849045,9;6779;
2018-01-23;323,30;323,60;314,60;323,80;314,10;322,10;319,845;416045;133068742,37;4746;
2018-01-22;313,40;313,60;316,10;317,50;313,40;314,00;314,302;261932;82325969,77;2678;
2018-01-19;315,30;315,50;310,90;317,50;310,50;316,00;315,255;441720;139253328,8;4191;
2018-01-18;308,10;308,40;319,00;320,60;308,10;308,70;309,947;458774;142196711;3912;
2018-01-17;317,30;317,60;316,10;323,20;315,40;318,20;318,883;390443;124505779,1;3680;
2018-01-16;316,20;316,50;314,50;318,00;312,90;316,80;315,992;317364;100296017,57;3690;
2018-01-15;312,60;312,90;314,60;318,60;312,50;313,80;314,987;263624;83040167,8;2803;
2018-01-12;314,80;315,00;314,40;315,30;310,70;314,20;313,791;307658;96539828,35;3800;
2018-01-11;314,30;314,60;316,30;316,80;311,00;314,80;313,958;282107;88569629,7;2933;
2018-01-10;315,70;315,90;320,30;321,20;313,00;316,30;316,738;500717;158595387,05;4362;
2018-01-09;319,40;319,70;319,00;320,40;314,60;320,10;318,236;422485;134450950,1;3564;
2018-01-08;319,50;319,80;317,50;324,30;316,70;319,00;321,001;386550;124183049,8;3481;
2018-01-05;316,00;316,40;311,40;316,90;307,90;316,60;312,355;541507;169190329,49;5468;
2018-01-04;310,50;310,80;317,50;318,00;310,40;311,30;312,535;415657;129907193,4;4043;
2018-01-03;318,20;318,30;313,30;325,00;312,10;317,20;316,975;715888;226915201,15;7850;
2018-01-02;311,70;312,00;316,50;316,50;306,20;312,00;311,03;452748;140819394,13;4709;
2017-12-29;313,50;314,00;304,30;315,00;304,30;315,00;312,337;598146;186819852;5316;
2017-12-28;303,50;303,70;310,00;310,00;301,60;303,80;303,909;262681;79833998,73;2990;
2017-12-27;309,90;310,30;299,00;311,90;299,00;310,00;308,552;470882;145280441,7;4990;
2017-12-22;299,90;300,20;301,70;303,10;299,50;299,60;300,766;305002;91735209,98;3678;
2017-12-21;301,40;301,60;302,00;306,40;300,60;301,80;302,381;429320;129818193,9;4570;
2017-12-20;303,10;303,30;308,80;308,80;302,70;303,20;304,774;373606;113866257;3932;
2017-12-19;308,80;309,00;306,40;310,50;306,40;308,30;308,59;384872;118767295,53;5210;
2017-12-18;306,70;306,90;303,20;309,10;303,20;306,90;306,783;329426;101062371,3;3565;
2017-12-15;302,00;302,20;301,70;305,10;299,50;301,20;301,423;487461;146932393,5;3110;
2017-12-14;302,80;303,10;303,50;305,30;301,00;303,20;302,973;350399;106164113,65;4432;
2017-12-13;304,20;304,40;305,90;308,00;302,30;305,00;304,803;413493;126036201,35;4356;
