sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-24;8800,00;8815,00;8525,00;8825,00;8525,00;8805,00;8778,666;3820;33529680;696;
2018-08-23;8600,00;8610,00;8645,00;8720,00;8565,00;8595,00;8611,419;9499;81802645;1702;
2018-08-22;8695,00;8710,00;8515,00;8730,00;8515,00;8690,00;8656,554;5533;47894022,5;1582;
2018-08-21;8510,00;8515,00;8450,00;8620,00;8375,00;8505,00;8532,657;4415;37673145,49;1187;
2018-08-20;8510,00;8515,00;8350,00;8560,00;8300,00;8480,00;8454,222;4572;38650552,5;1122;
2018-08-17;8245,00;8270,00;8310,00;8500,00;8225,00;8295,00;8353,663;7128;59546372,5;1628;
2018-08-16;8080,00;8100,00;8105,00;8115,00;7985,00;8110,00;8044,201;3670;29522180;862;
2018-08-15;7990,00;7995,00;8205,00;8205,00;7965,00;7995,00;8043,288;4008;32236505;975;
2018-08-14;8135,00;8150,00;8345,00;8375,00;8125,00;8165,00;8206,684;3440;28232092,5;791;
2018-08-13;8280,00;8295,00;8400,00;8515,00;8255,00;8270,00;8310,383;3157;26238010,3;955;
2018-08-10;8530,00;8550,00;8830,00;8830,00;8430,00;8510,00;8537,993;4341;37069842,5;1150;
2018-08-09;8840,00;8850,00;8750,00;8910,00;8710,00;8860,00;8795,826;6687;58814755;1845;
2018-08-08;8760,00;8775,00;8530,00;8815,00;8465,00;8760,00;8649,126;10785;93270312,5;2864;
2018-08-07;8375,00;8395,00;7885,00;8400,00;7410,00;8400,00;8075,48;13610;109885920;2871;
2018-08-06;7930,00;7940,00;8170,00;8170,00;7885,00;7955,00;7949,463;4452;35392017,5;1096;
2018-08-03;8070,00;8085,00;8300,00;8300,00;8065,00;8090,00;8163,912;2878;23499145;773;
2018-08-02;8220,00;8230,00;8300,00;8300,00;8190,00;8200,00;8225,468;3042;25023115;611;
2018-08-01;8405,00;8415,00;8510,00;8555,00;8310,00;8385,00;8393,868;5829;48931505;1562;
2018-07-31;8560,00;8580,00;8300,00;8625,00;8280,00;8575,00;8471,216;13084;110836405;3344;
