sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-27;68,36;68,44;68,00;68,70;68,00;68,44;68,437;299335;20485662,56;476;
2018-08-24;67,90;67,96;67,82;68,40;67,74;67,98;68,078;190642;12978436,65;411;
2018-08-23;68,00;68,06;67,94;68,48;67,92;67,94;68,152;401743;27379027,6;657;
2018-08-22;67,78;67,86;66,82;67,98;66,80;67,84;67,454;390990;26373516,12;454;
2018-08-21;66,82;66,86;66,52;67,04;66,52;66,80;66,819;201104;13437350,74;288;
2018-08-20;66,64;66,72;66,98;67,14;66,60;66,66;66,852;235274;15728331,17;312;
2018-08-17;66,52;66,58;66,58;66,74;66,04;66,58;66,353;368048;24420945,93;649;
2018-08-16;66,30;66,36;65,98;66,36;65,42;66,32;65,918;237319;15643236,82;468;
2018-08-15;65,62;65,70;65,78;66,38;65,42;65,58;65,788;193894;12755912,54;539;
2018-08-14;65,86;65,92;66,00;66,16;65,48;65,84;65,728;175809;11556144,63;337;
2018-08-13;65,98;66,02;66,08;66,10;65,50;65,98;65,84;281295;18520769,66;539;
2018-08-10;66,30;66,38;66,98;67,08;66,02;66,30;66,486;206704;13743012,74;411;
2018-08-09;67,00;67,04;66,60;67,04;66,26;67,02;66,762;148619;9922362,19;420;
2018-08-08;66,62;66,68;66,96;67,00;66,46;66,60;66,675;213513;14236245,06;524;
2018-08-07;67,00;67,06;67,00;67,12;66,68;66,96;66,897;188752;12627095,37;362;
2018-08-06;66,80;66,88;66,92;67,12;66,50;66,78;66,77;386335;25795826,2;449;
2018-08-03;66,88;66,94;66,96;67,50;66,84;66,84;67,114;195445;13116898,08;450;
2018-08-02;66,92;66,98;67,60;67,60;66,62;66,96;66,908;245734;16441410,98;394;
2018-08-01;67,64;67,70;67,90;68,22;67,24;67,58;67,545;239676;16190680,52;409;
2018-07-31;67,82;67,86;67,88;68,20;67,80;67,80;68,035;340230;23147243,49;617;
2018-07-30;67,92;67,94;67,80;68,08;67,40;67,92;67,931;306178;20798968,18;601;
2018-07-27;67,84;67,90;68,10;68,18;67,72;67,82;67,947;174827;11878977,88;552;
2018-07-26;67,66;67,74;68,00;68,28;67,58;67,60;67,803;363117;24620334,01;691;
2018-07-25;67,54;67,58;67,62;68,42;67,46;67,46;67,971;473311;32171509,03;852;
2018-07-24;67,40;67,44;65,94;67,68;65,94;67,44;66,977;772003;51706889,34;1030;
2018-07-23;65,62;65,68;65,42;65,86;65,06;65,68;65,551;371750;24368774,56;738;
2018-07-20;65,30;65,32;64,42;65,40;64,02;65,40;64,868;552029;35808567,08;798;
2018-07-19;64,70;64,72;64,50;64,94;64,06;64,70;64,482;874336;56380702,14;1026;
2018-07-18;62,86;62,92;63,72;63,78;62,26;62,94;62,856;543264;34148432,96;744;
2018-07-17;63,56;63,64;63,24;64,04;63,20;63,56;63,615;521836;33196972,48;903;
2018-07-16;62,66;62,72;62,22;62,80;61,92;62,76;62,541;314349;19659107,3;421;
2018-07-13;62,16;62,20;62,02;62,48;61,96;62,14;62,215;226660;14101538,81;307;
2018-07-12;61,82;61,88;62,30;62,30;61,40;61,86;61,779;286640;17708808,3;351;
2018-07-11;61,86;61,92;62,60;62,60;61,74;61,96;62,075;305845;18985831,22;444;
2018-07-10;62,60;62,64;62,84;63,22;62,54;62,60;62,955;520267;32753761,38;735;
2018-07-09;62,64;62,68;62,30;62,86;62,24;62,68;62,564;413813;25889715,26;723;
2018-07-06;61,92;61,98;62,58;62,80;61,44;61,96;62,078;312973;19430808,81;539;
2018-07-05;62,26;62,32;61,94;62,80;61,94;62,24;62,427;436122;27225042,16;828;
2018-07-04;62,00;62,02;61,52;62,20;61,50;61,96;61,941;458677;28410410,33;879;
2018-07-03;61,42;61,48;61,10;61,98;60,50;61,50;61,471;546257;33579087,86;807;
2018-07-02;60,68;60,76;61,00;61,00;60,22;60,74;60,547;476467;28849291,96;809;
2018-06-29;61,32;61,38;61,64;61,80;61,04;61,38;61,414;588631;36149691,5;774;
2018-06-28;60,82;60,88;61,60;61,60;60,58;60,94;60,952;395803;24125114,5;792;
2018-06-27;61,58;61,62;61,04;61,86;60,38;61,60;60,975;567584;34608265,34;890;
2018-06-26;61,16;61,22;61,20;61,78;61,10;61,30;61,386;336369;20648157,84;498;
2018-06-25;61,28;61,34;61,48;61,80;60,68;61,32;61,242;475364;29112906,4;819;
2018-06-22;61,72;61,74;61,88;61,96;61,26;61,80;61,734;255335;15762669,04;575;
2018-06-21;61,28;61,34;62,46;62,46;61,16;61,20;61,734;628115;38775605,5;989;
