sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-24;315,60;315,70;316,00;318,65;315,10;315,85;316,377;1399019;442614230,22;6001;
2018-08-23;316,80;316,90;315,20;319,75;315,20;316,50;317,41;1696050;538342188,87;8503;
2018-08-22;316,25;316,30;319,50;319,65;315,40;316,00;316,818;1560696;494447164,32;6276;
2018-08-21;317,60;317,70;313,90;320,25;313,45;317,70;318,226;2593582;825380924,27;11016;
2018-08-20;312,20;312,30;310,00;313,05;308,05;312,95;311,662;1790724;558092518,29;7570;
2018-08-17;309,85;310,00;311,95;313,15;309,35;310,00;311,036;1855094;577001689,84;8123;
2018-08-16;313,70;313,80;316,20;316,20;309,50;313,95;312,655;2023271;632578771,83;8971;
2018-08-15;313,65;313,70;318,10;318,35;313,40;313,90;315,571;1889943;596443223,67;8185;
2018-08-14;319,15;319,25;309,95;319,35;309,65;319,30;315,866;3518444;1111338151,84;13773;
2018-08-13;308,75;308,80;305,50;309,85;304,80;308,30;307,867;5030989;1541821867,58;8711;
2018-08-10;305,10;305,20;303,20;307,55;301,80;305,00;304,821;2036000;620552824,29;9407;
2018-08-09;304,10;304,20;303,65;308,15;303,55;304,50;305,398;2540889;775996800,56;12221;
2018-08-08;303,85;304,00;310,00;311,25;302,75;303,65;306,104;4342653;1329318513,13;20176;
2018-08-07;322,20;322,30;316,95;322,90;315,50;322,90;320,614;1887595;605177689,97;7136;
2018-08-06;320,15;320,25;321,95;322,50;318,90;320,00;320,308;1723830;552312672,72;7770;
2018-08-03;319,45;319,55;318,00;320,70;317,20;320,40;319,907;2018808;645832542,57;7660;
2018-08-02;317,15;317,30;314,00;319,25;313,30;317,00;317,271;1967930;624395032,24;8026;
2018-08-01;315,90;316,00;318,30;319,50;313,15;315,65;315,921;2198448;694534991,81;9570;
2018-07-31;319,80;319,90;323,00;325,50;317,75;318,15;319,174;2895411;924146137,62;8961;
2018-07-30;323,20;323,30;324,30;326,45;322,90;323,00;323,96;1419687;459929814,5;6373;
2018-07-27;326,00;326,10;327,30;328,00;323,75;325,80;325,693;1838901;598897780,33;7768;
2018-07-26;329,45;329,50;325,90;329,75;323,50;329,25;327,255;2550004;834481829,79;9242;
2018-07-25;323,90;324,00;323,75;326,70;322,10;323,10;324,22;2031944;658801332,42;7206;
2018-07-24;324,25;324,30;320,00;324,50;319,05;324,25;322,872;1603545;517737861,46;6180;
2018-07-23;321,20;321,30;321,50;322,30;319,50;321,55;320,97;1270004;407630606,44;5554;
2018-07-20;320,00;320,10;318,60;322,60;318,60;320,75;320,24;1492929;478095533,75;5663;
2018-07-19;318,85;318,95;320,70;321,50;317,40;318,10;318,937;1841065;587187276,26;7047;
2018-07-18;321,05;321,10;318,75;324,25;317,80;321,55;321,479;2058950;661934311,9;8879;
2018-07-17;318,40;318,50;316,25;318,75;314,85;318,75;317,147;1644472;521526457,33;6707;
2018-07-16;315,95;316,00;318,75;320,00;313,90;315,90;316,923;1403575;444824456,29;6745;
2018-07-13;317,25;317,30;319,80;320,00;316,20;316,75;317,558;1608326;510740063,93;5699;
2018-07-12;316,45;316,50;312,90;316,75;312,50;316,65;315,07;1765620;556291515,38;7277;
2018-07-11;311,10;311,20;312,80;316,15;310,65;310,90;312,268;2403817;750645497,74;8939;
2018-07-10;314,20;314,35;312,00;315,10;308,10;314,70;313,457;2561941;803051857,55;9735;
2018-07-09;309,05;309,10;306,90;310,45;306,90;308,65;308,932;2019345;623840128,46;8597;
2018-07-06;306,00;306,05;304,00;308,10;302,95;306,90;306,475;2603706;797961758,55;10751;
2018-07-05;304,60;304,65;306,95;307,70;302,25;304,40;305,041;2019083;615904008,01;8293;
2018-07-04;306,15;306,20;302,00;306,70;300,85;306,70;305,149;1608839;490916623,13;6810;
2018-07-03;301,50;301,55;300,30;303,80;299,85;302,35;302,37;2464391;745157042,65;9081;
2018-07-02;298,05;298,10;297,15;299,00;294,00;298,95;297,379;2620515;779277083,76;9736;
2018-06-29;296,45;296,55;293,50;297,00;293,50;296,00;295,934;3119113;923049776,04;10311;
2018-06-28;291,50;291,60;293,15;300,70;290,75;291,50;293,514;2683560;787692171,35;10977;
2018-06-27;293,70;293,85;295,85;296,30;289,65;294,25;293,413;2011142;590097690,84;8059;
2018-06-26;295,40;295,50;300,35;301,50;294,70;295,00;296,004;2405673;712101967,93;9713;
