sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-27;349,70;349,90;348,00;350,60;346,80;349,50;349,495;195693;68392695,65;1222;
2018-08-24;347,60;348,00;347,10;349,10;345,80;347,80;347,599;234598;81545545,2;2304;
2018-08-23;348,20;348,30;343,70;348,90;343,00;347,60;347,203;394834;137084019,9;3605;
2018-08-22;343,10;343,40;343,20;344,20;341,50;343,00;342,953;273485;93794504,67;2250;
2018-08-21;343,60;343,80;342,20;346,00;341,00;343,30;343,62;299742;102997073,82;2717;
2018-08-20;342,30;342,50;340,90;345,20;340,80;342,20;342,856;374233;128310274,9;2686;
2018-08-17;339,70;339,90;337,90;340,40;337,10;339,80;339,359;310001;105189176,62;2169;
2018-08-16;338,00;338,40;335,00;338,40;333,60;337,70;336,828;391838;131981485;2598;
2018-08-15;332,80;333,00;341,10;342,10;332,60;333,00;336,515;301916;101602455,1;2405;
2018-08-14;340,50;340,70;339,80;343,40;335,20;341,50;340,612;626160;213278091,15;4512;
2018-08-13;339,80;340,10;335,60;341,30;334,70;340,00;339,057;437186;148230310,85;3974;
2018-08-10;335,20;335,50;330,00;344,00;330,00;335,50;337,239;901270;303952003,75;8538;
2018-08-09;345,30;345,40;342,60;347,00;339,60;347,00;344,079;765776;263313415,55;4995;
2018-08-08;341,60;341,80;347,10;347,40;340,40;341,60;344,071;700007;240865562;4177;
2018-08-07;347,00;347,30;343,90;347,60;342,50;346,80;344,922;989492;341341130,9;3532;
2018-08-06;342,60;342,90;339,40;342,90;338,40;342,80;340,488;934995;318350789,55;3743;
2018-08-03;339,10;339,30;337,60;340,20;337,50;339,00;339,164;533957;181098344,5;3403;
2018-08-02;336,50;336,70;339,10;339,90;335,70;336,50;337,215;352944;119018641,35;2084;
2018-08-01;340,10;340,40;335,50;340,40;335,50;340,20;338,67;302617;102483378,7;2653;
2018-07-31;335,90;336,00;338,40;338,70;331,90;335,50;334,701;418639;140117716,8;2970;
2018-07-30;338,40;338,60;339,80;341,90;338,00;338,00;339,302;192251;65231560,7;1443;
2018-07-27;340,40;340,50;339,40;341,00;338,20;340,40;340,051;264063;89794202,7;2378;
