sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-24;389,60;389,80;383,50;390,90;382,10;389,60;388,30;406597;157880587,95;3700;
2018-08-23;383,50;383,70;380,00;385,40;380,00;382,80;383,189;464078;177828636,23;4091;
2018-08-22;379,30;379,60;375,50;380,80;372,00;379,40;378,37;692928;262015131,93;5093;
2018-08-21;374,00;374,30;377,00;381,50;372,70;373,90;376,509;608238;229007472,85;5627;
2018-08-20;381,80;382,10;384,20;387,80;379,50;382,90;382,736;917078;350999776,83;7706;
2018-08-17;373,30;373,70;378,80;380,20;372,50;372,50;374,168;546554;204503064,6;4153;
2018-08-16;379,30;379,50;373,10;381,50;371,30;379,70;378,78;627169;237557652,51;5245;
2018-08-15;371,60;371,70;366,10;377,60;365,80;372,70;372,175;812860;302510161,95;6877;
2018-08-14;365,70;365,90;368,40;372,20;356,50;366,10;365,298;1023375;373820909,83;7183;
2018-08-13;367,10;367,20;359,00;371,80;357,60;367,00;367,87;994334;365781523,64;8437;
2018-08-10;359,50;359,90;356,90;361,10;348,50;359,70;356,505;1251633;446217333,05;9976;
2018-08-09;354,80;355,00;361,00;377,60;328,80;354,20;355,147;5220290;1853867453,48;48869;
2018-08-08;339,80;340,00;326,10;345,90;319,00;341,60;336,938;2743555;924372227,49;30320;
2018-08-07;328,40;328,60;350,00;365,10;325,00;325,00;344,125;7223528;2485823325,6;68549;
2018-08-06;430,00;430,10;429,30;434,60;422,50;430,00;429,178;679458;291605751,85;5502;
2018-08-03;423,40;423,70;440,80;440,80;423,00;424,50;426,778;819367;349685462,85;7453;
2018-08-02;441,10;441,30;438,00;443,90;437,50;441,00;441,464;398326;175846448,5;3497;
2018-08-01;438,20;438,50;451,70;451,70;436,60;438,30;440,947;845427;372770954,24;6791;
2018-07-31;451,50;451,70;449,30;456,20;448,80;453,00;452,528;472794;215343714,15;4501;
2018-07-30;449,80;450,00;452,10;454,40;447,60;450,90;450,694;425855;191930381,38;4048;
2018-07-27;451,00;451,20;452,30;455,20;449,90;452,00;452,531;402777;182268957,8;3761;
2018-07-26;450,60;450,90;445,00;454,90;437,30;449,80;447,264;971939;434725730,25;9038;
2018-07-25;469,10;469,40;468,10;472,10;463,90;468,90;469,021;320701;150415141,3;3671;
2018-07-24;466,30;466,60;454,20;468,70;453,20;467,10;463,589;430973;199789023,2;3424;
2018-07-23;453,00;453,20;461,90;464,90;450,20;453,00;455,657;494531;225338076,1;4373;
2018-07-20;461,40;461,60;454,30;462,50;449,40;461,90;457,749;511239;234018184,65;4230;
2018-07-19;455,20;455,70;453,00;457,60;419,90;454,30;439,192;1801207;791063164,55;14647;
2018-07-18;454,00;454,10;447,90;454,00;442,80;453,00;450,233;369300;166270229,82;3897;
2018-07-17;446,10;446,20;440,00;446,90;440,00;446,90;444,722;255181;113484535,8;2464;
2018-07-16;441,50;441,60;439,10;443,20;438,70;441,00;441,241;449812;198475433,15;3308;
2018-07-13;439,00;439,30;440,40;441,50;436,00;439,00;439,076;397458;174513128;3991;
2018-07-12;440,20;440,50;443,90;447,10;428,60;441,00;437,034;611337;267176230,2;5899;
2018-07-11;443,30;443,70;414,00;444,00;413,80;442,30;430,395;936178;402839963,15;8537;
2018-07-10;415,40;415,50;418,20;421,10;412,80;414,90;416,556;721694;300626223,54;6350;
2018-07-09;416,70;417,00;417,00;421,10;413,50;417,00;417,319;558835;233211489,22;6520;
2018-07-06;417,50;417,80;420,00;424,60;414,80;418,00;419,11;752856;315612868,9;7389;
2018-07-05;420,80;420,90;440,00;441,00;419,80;419,90;427,875;930785;398261994,55;7697;
2018-07-04;437,80;438,10;439,60;443,50;432,50;438,00;437,087;816299;356803447,43;7603;
2018-07-03;438,20;438,60;442,90;448,60;435,60;438,50;441,372;855413;377492030,8;8145;
2018-07-02;439,50;439,60;442,50;449,80;438,90;439,80;443,214;649732;287971166,39;6377;
2018-06-29;445,50;445,70;447,40;451,90;440,00;445,80;445,558;755655;336689158,96;7056;
