sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-27;157,50;157,70;156,40;157,70;156,40;157,20;157,289;260083;40907584,65;805;
2018-08-24;156,70;156,80;155,50;157,10;155,50;156,50;156,578;363236;56872494,93;1569;
2018-08-23;155,90;156,10;156,90;157,20;155,60;156,00;156,223;534899;83562249,9;2209;
2018-08-22;157,30;157,40;157,60;158,60;157,00;157,10;157,438;410460;64627828;1578;
2018-08-21;157,70;158,00;157,50;158,90;157,50;157,90;158,144;324092;51253326,35;1934;
2018-08-20;157,80;157,90;157,50;158,40;157,30;157,40;157,703;404765;63835648,05;1707;
2018-08-17;157,80;157,90;158,70;158,80;157,20;157,80;157,774;283697;44757429,25;1139;
2018-08-16;158,00;158,20;157,40;159,00;157,00;158,00;158,061;297981;47100682,8;1507;
2018-08-15;157,60;157,70;159,00;159,00;157,10;157,60;157,893;319197;50399736,25;1470;
2018-08-14;158,30;158,50;158,60;159,20;157,90;158,50;158,474;222955;35332180;981;
2018-08-13;158,70;158,90;157,90;159,10;156,80;158,60;158,331;217011;34359407,8;1014;
2018-08-10;157,40;157,60;157,90;158,70;157,30;157,60;157,868;201021;31735054,45;970;
2018-08-09;158,40;158,60;157,50;159,00;157,20;158,60;158,37;374792;59355378,45;1183;
2018-08-08;157,60;157,80;158,00;158,00;156,80;157,30;157,282;311015;48915422;1561;
2018-08-07;157,30;157,40;156,40;157,90;156,00;157,90;157,403;398584;62736125;1500;
2018-08-06;156,50;156,70;156,40;156,90;156,10;156,40;156,459;358403;56075429,1;1414;
2018-08-03;156,30;156,40;156,10;156,50;155,80;156,40;156,286;284495;44462526,57;1078;
2018-08-02;155,50;155,70;156,00;156,50;155,30;155,70;155,701;289918;45140363,8;994;
2018-08-01;156,00;156,20;156,00;156,50;155,50;156,30;156,136;379102;59191209,8;1277;
2018-07-31;156,20;156,30;155,90;156,40;155,20;155,90;155,934;554672;86493413,6;1229;
2018-07-30;156,10;156,20;155,00;156,40;154,40;156,10;155,988;299675;46745763,6;1295;
2018-07-27;154,90;155,10;154,20;155,10;153,80;155,00;154,692;150852;23334344,1;791;
2018-07-26;154,10;154,20;153,50;154,40;153,20;154,00;154,014;312489;48127124,65;1357;
2018-07-25;152,90;153,00;153,10;154,10;152,70;152,90;153,339;520017;79742564,05;2001;
2018-07-24;153,10;153,20;156,00;156,00;152,50;153,30;153,583;706578;108520869,8;2224;
2018-07-23;155,00;155,20;155,10;155,60;154,50;155,00;155,112;324140;50280898,45;1326;
2018-07-20;154,70;154,90;154,60;155,60;154,30;155,00;154,865;500900;77574081,6;2227;
2018-07-19;155,20;155,40;156,60;156,80;154,50;155,00;155,336;375111;58272554,4;1262;
2018-07-18;156,20;156,40;156,10;156,70;155,50;156,10;156,118;392908;61340527,75;1551;
2018-07-17;156,10;156,30;154,30;156,80;154,30;156,80;156,41;607451;95009673,75;2213;
2018-07-16;154,30;154,40;153,90;154,50;153,30;154,10;154,037;413058;63628576,17;1759;
2018-07-13;153,90;154,00;155,40;156,20;153,80;153,80;154,496;469471;72533556,75;1562;
2018-07-12;155,40;155,50;154,30;156,70;153,80;155,00;155,624;745302;115986689,12;2274;
2018-07-11;154,80;154,90;152,20;155,30;151,50;154,60;154,079;931508;143485298,33;2843;
2018-07-10;153,40;153,50;149,60;154,00;149,20;153,50;151,985;1015778;154379856,65;3831;
2018-07-09;153,00;153,10;151,20;154,80;151,20;152,80;153,334;857834;131556641,3;2365;
2018-07-06;151,30;151,40;150,40;152,00;150,40;151,30;151,357;507799;76858753,55;1941;
2018-07-05;150,80;150,90;151,10;151,50;150,30;150,90;150,882;417984;63065524,45;1431;
2018-07-04;151,00;151,20;149,90;151,20;149,30;151,20;150,662;330589;49806494;1209;
2018-07-03;149,90;150,00;149,00;150,20;148,30;150,00;149,787;401811;60185514,05;1537;
2018-07-02;148,30;148,50;149,80;149,80;147,70;148,60;148,347;352039;52222813,25;1448;
2018-06-29;149,50;149,70;148,00;149,80;147,90;149,80;149,47;796650;119073682,35;1698;
2018-06-28;147,80;147,90;147,00;148,70;147,00;147,90;147,953;406870;60197521,65;1513;
2018-06-27;148,40;148,50;148,60;148,90;146,90;148,30;148,139;487443;72209438,4;1911;
2018-06-26;148,50;148,70;149,80;149,80;148,40;148,60;148,881;616111;91728631,27;1983;
2018-06-25;149,80;149,90;152,00;152,10;149,80;149,80;150,347;731996;110054017,67;2331;
2018-06-22;152,10;152,30;151,40;152,50;151,00;152,30;152,006;428919;65198086,4;1257;
2018-06-21;150,50;150,60;150,60;151,50;149,90;150,90;150,861;625204;94318603,65;2097;
2018-06-20;150,10;150,20;150,00;150,70;149,60;150,20;150,199;398454;59847208,25;1594;
2018-06-19;149,20;149,30;148,30;149,80;147,30;149,60;149,034;467400;69658652,65;1566;
2018-06-18;148,90;149,00;150,00;150,40;148,60;148,90;149,171;517021;77124750,35;1744;
2018-06-15;149,80;150,00;150,40;150,70;149,40;150,00;150,008;1221918;183299132,2;2501;
2018-06-14;150,60;150,80;152,10;152,80;150,20;150,60;150,865;814784;122922507,46;2762;
2018-06-13;152,50;152,60;150,20;152,60;150,00;152,30;151,794;726315;110246471,72;2636;
2018-06-12;150,00;150,10;150,70;151,00;149,90;150,00;150,314;557832;83848723;2314;
2018-06-11;150,20;150,30;148,80;150,50;148,80;150,10;149,938;567146;85036126;1898;
2018-06-08;148,30;148,40;148,30;148,90;147,30;148,40;148,274;365808;54243731,25;1283;
2018-06-07;148,60;148,70;148,60;149,20;148,00;148,70;148,614;407512;60561972,5;1476;
2018-06-06;147,60;147,80;149,90;149,90;147,40;147,90;148,586;532092;79064831,8;1956;
2018-06-04;149,70;149,80;148,80;149,80;148,80;149,60;149,495;514297;76884665,2;1747;
2018-06-01;148,50;148,70;147,50;148,70;147,00;148,10;148,174;573926;85040694,85;2227;
2018-05-31;146,60;146,70;147,00;149,30;146,60;146,70;147,226;1828915;269274263,9;2874;
2018-05-30;146,60;146,80;146,00;147,00;145,70;146,50;146,526;462853;67820727,9;1826;
2018-05-29;146,10;146,20;147,70;147,70;144,70;146,00;145,883;551486;80450557,55;2035;
2018-05-28;147,50;147,60;148,40;148,60;147,10;147,70;147,745;322798;47691710,75;1297;
2018-05-25;148,00;148,10;146,30;148,60;146,20;147,80;147,778;602539;89042065,25;2042;
2018-05-24;146,10;146,40;145,90;146,70;145,10;146,00;146,099;437803;63963069,75;1457;
2018-05-23;145,70;145,80;148,00;148,20;145,40;145,80;146,495;830029;121674274,43;2885;
2018-05-22;145,70;145,90;144,40;146,20;144,40;145,80;145,732;514242;74941073,05;2044;
2018-05-18;144,10;144,20;145,20;146,10;143,90;144,10;144,545;738469;106744272,9;2518;
2018-05-17;143,50;143,70;142,60;143,70;142,00;143,50;143,342;442605;63447076,52;1480;
2018-05-16;142,80;142,90;143,80;144,50;142,60;142,60;143,213;495090;70901873,5;1878;
2018-05-15;144,80;145,00;147,10;147,20;144,80;144,90;145,257;757984;110102545,2;2172;
2018-05-14;146,50;146,70;147,40;148,10;145,60;146,90;146,884;775818;113948486,45;2386;
2018-05-09;146,40;146,50;146,10;147,50;145,70;146,50;146,419;433166;63422728,15;1425;
2018-05-08;146,00;146,20;144,60;146,30;144,50;146,30;145,227;920890;133737669,55;1894;
2018-05-07;144,50;144,70;144,90;145,00;144,30;144,60;144,586;539567;78013766,85;1487;
2018-05-04;144,50;144,70;146,30;146,90;144,50;144,70;145,412;595044;86526863,55;1829;
2018-05-03;145,70;145,90;146,50;146,80;145,60;145,90;146,111;336655;49189125,2;1253;
2018-05-02;146,00;146,20;146,00;146,40;145,30;146,30;146,108;432573;63201358,25;1372;
2018-05-01;145,50;145,70;146,40;147,30;145,30;145,80;146,133;209505;30619633,4;883;
2018-04-30;145,80;146,00;144,70;146,50;144,40;146,50;145,794;704134;102654854,6;1974;
2018-04-26;144,60;144,80;143,90;144,80;142,80;144,60;143,985;451117;64959458,22;1433;
2018-04-25;143,70;143,90;143,60;144,00;143,20;144,00;143,667;306235;43995710,9;1309;
2018-04-24;144,20;144,40;143,90;144,40;143,50;144,30;144,14;534768;77081412,5;1880;
2018-04-23;143,50;143,70;140,70;144,00;140,70;143,40;142,988;489048;69849250,4;1456;
2018-04-20;140,90;141,10;142,00;142,30;140,60;140,70;140,984;431333;60811115,05;1401;
2018-04-19;142,10;142,20;140,90;142,90;140,90;142,00;142,046;462209;65654782,65;1474;
2018-04-18;141,20;141,30;141,00;142,00;137,90;141,10;141,083;332096;46861848,3;662;
2018-04-17;141,30;141,40;140,20;141,70;140,00;141,40;141,244;468528;66176522,25;1392;
2018-04-16;140,40;140,60;140,00;140,80;139,60;140,10;140,151;436637;61195005,1;1308;
2018-04-13;139,10;139,20;139,50;140,20;139,00;139,20;139,522;386125;53872882,8;1345;
2018-04-12;139,10;139,20;141,40;141,40;138,80;139,10;139,792;525603;73474971,25;2069;
2018-04-11;141,80;141,90;143,90;145,60;141,10;142,00;142,416;791190;112678304,65;2546;
2018-04-10;141,20;141,40;142,20;142,40;140,40;141,20;141,178;579053;81749229,2;2169;
2018-04-09;142,00;142,10;139,90;142,10;139,90;142,00;141,45;593143;83900172,9;1685;
2018-04-06;139,40;139,60;141,40;141,80;139,40;139,80;140,149;624178;87477196,45;2277;
2018-04-05;140,40;140,50;140,60;140,70;139,30;140,40;140,29;427878;60025606,06;1735;
2018-04-04;139,70;139,90;141,50;141,50;138,20;139,40;139,237;671335;93474500;2734;
2018-04-03;140,10;140,30;141,50;142,00;139,50;140,80;140,615;708218;99585538,3;2732;
2018-03-28;140,00;140,10;138,40;140,50;137,70;140,50;139,877;518818;72570773,4;1584;
2018-03-27;138,70;138,90;139,60;140,20;138,60;138,70;139,156;449921;62609848,85;1805;
2018-03-26;138,50;138,60;138,80;140,20;138,40;138,50;139,126;422834;58942540,15;1028;
2018-03-23;138,80;138,90;139,00;139,50;137,50;138,60;138,80;965752;133753432,91;1725;
2018-03-22;140,00;140,20;142,00;142,60;139,90;139,90;140,702;311382;43809114,85;1376;
2018-03-21;142,60;142,70;142,60;142,90;141,60;142,30;142,262;344197;48965404,85;1298;
2018-03-20;142,30;142,40;143,10;143,30;140,90;142,30;142,125;441691;62775400,6;1776;
2018-03-19;142,50;142,60;145,30;145,30;142,40;142,40;143,391;595894;85447313,75;2253;
2018-03-16;148,90;149,10;147,00;149,50;147,00;149,50;149,168;1502624;224142866,4;2928;
2018-03-15;147,40;147,50;145,90;147,50;145,80;147,00;146,822;421125;61829568,75;1573;
2018-03-14;146,20;146,40;146,00;147,40;145,80;145,90;146,39;392137;57405038,9;1531;
2018-03-13;146,10;146,20;146,50;146,50;145,60;146,00;146,134;489382;71515353,85;1895;
2018-03-12;146,10;146,20;146,80;147,70;146,00;146,40;146,603;467746;68572601,07;2276;
2018-03-09;146,70;146,80;147,00;147,10;145,90;146,90;146,676;455643;66832006,8;1699;
