sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-24;436,90;437,10;433,20;439,20;428,80;436,20;435,929;516992;225373522,75;4018;
2018-08-23;434,60;435,00;434,70;436,90;432,50;435,20;435,018;503177;218891117,61;3171;
2018-08-22;435,60;435,90;434,90;443,60;432,60;434,80;436,162;769300;335542561,3;6196;
2018-08-21;434,70;434,90;421,10;434,90;419,40;434,50;431,217;1193333;514576287,55;9963;
2018-08-20;420,90;421,00;412,00;421,90;410,30;421,20;418,502;999921;418456900,04;7244;
2018-08-17;409,60;409,80;403,00;411,10;399,00;410,50;405,918;790059;320664484;5954;
2018-08-16;400,00;400,10;405,00;410,60;395,40;400,10;400,686;1326077;531333242,2;10461;
2018-08-15;406,40;406,70;419,00;431,60;403,30;407,20;417,946;3201901;1337919658,35;20811;
2018-08-14;394,10;394,40;398,00;399,20;386,70;395,00;393,011;1172318;460855242,75;8491;
2018-08-13;402,10;402,40;406,00;408,00;398,60;402,30;402,583;660465;265901883,76;5456;
2018-08-10;404,90;405,10;410,60;410,70;404,00;404,70;406,719;516850;210216995,8;4966;
2018-08-09;411,60;411,90;407,40;413,30;403,60;411,90;410,125;563637;231160978,79;4391;
2018-08-08;408,60;409,00;402,70;412,50;402,20;408,00;408,329;569669;232613055,4;4745;
2018-08-07;401,50;401,70;404,90;407,00;400,70;401,50;403,043;442100;178178398,6;3792;
2018-08-06;405,10;405,40;406,10;407,60;402,50;405,00;404,727;299727;121307555,55;2621;
2018-08-03;404,30;404,50;402,80;407,60;401,20;405,00;404,557;409993;165858910,62;2765;
2018-08-02;402,10;402,20;406,40;410,00;401,10;401,90;403,414;541788;218570468,55;4652;
2018-08-01;407,70;407,90;411,10;412,50;406,60;408,00;408,648;383327;156647412,4;3264;
2018-07-31;411,90;412,20;407,80;412,50;404,00;411,10;408,852;585427;239345224,25;3798;
2018-07-30;406,80;407,00;402,40;409,70;400,40;407,30;406,957;569275;231665484;4699;
2018-07-27;404,20;404,40;421,00;425,00;398,20;402,80;404,767;1705296;690249773,67;13639;
2018-07-26;421,00;421,20;415,30;421,70;412,10;421,70;419,643;769894;323075814,93;4606;
2018-07-25;412,10;412,40;413,70;416,00;408,80;411,50;411,754;367638;151379861,64;2935;
2018-07-24;414,00;414,10;414,60;416,90;410,70;413,70;414,357;396949;164483939,86;3291;
2018-07-23;414,10;414,30;419,00;422,00;413,60;413,80;415,821;448378;186447520,95;3738;
2018-07-20;419,20;419,60;401,80;421,00;399,10;419,00;412,566;869079;358539367,38;5972;
2018-07-19;401,70;402,00;401,50;406,80;398,80;401,10;402,455;388202;156232630,4;3228;
2018-07-18;399,60;399,80;398,00;399,80;394,00;399,80;397,695;506393;201382482,34;3511;
2018-07-17;397,00;397,20;397,00;399,20;393,90;397,00;396,536;668876;265238341,8;4406;
2018-07-16;389,10;389,30;389,20;393,70;388,50;389,70;390,783;315956;123469550,1;2806;
2018-07-13;389,40;389,70;393,00;396,90;388,00;389,20;391,096;756072;295710914,1;5117;
2018-07-12;390,80;391,10;390,20;394,40;387,70;390,50;390,248;461246;179999683,8;3473;
2018-07-11;389,10;389,30;396,00;397,00;388,50;388,50;390,713;531380;207653057,27;4171;
2018-07-10;396,80;397,00;397,00;401,90;395,00;397,80;398,301;630371;251079639,25;4730;
2018-07-09;394,50;394,60;386,50;394,90;386,30;394,70;392,674;618519;242863397,35;4580;
2018-07-06;385,80;386,00;385,20;387,50;380,80;385,50;384,333;771842;296643333,95;5635;
2018-07-05;384,90;385,00;392,70;396,50;384,60;384,90;387,552;492586;190912759,1;3509;
2018-07-04;392,00;392,30;392,40;394,10;389,00;392,80;391,66;342572;134171641,25;3114;
2018-07-03;392,70;392,90;386,00;394,30;386,00;392,40;391,71;786281;308064990,3;5240;
2018-07-02;384,40;384,60;392,60;395,30;383,70;385,00;388,631;763769;296820074,75;6115;
2018-06-29;395,30;395,50;396,00;397,30;391,40;395,00;395,076;835266;329995494,75;5212;
2018-06-28;387,80;388,00;393,20;397,60;386,20;388,80;389,873;733403;285948249,4;5235;
2018-06-27;394,00;394,20;395,60;397,00;381,40;393,60;391,079;882585;345156567,65;7438;
2018-06-26;395,70;396,00;401,30;401,90;388,30;395,40;394,663;1112321;438990302,55;8226;
2018-06-25;402,80;402,90;410,60;411,30;402,20;403,60;405,566;516188;209351192,15;4149;
2018-06-22;411,50;411,70;408,30;412,50;406,10;410,80;410,055;365512;149878419,6;3483;
2018-06-21;408,20;408,50;410,50;416,60;407,30;408,30;411,651;583507;240197886,6;5066;
2018-06-20;409,40;409,70;420,30;420,80;403,30;410,00;411,232;1260016;518165341,1;7795;
2018-06-19;417,40;417,60;416,00;424,40;415,40;417,60;418,744;905233;379061931,28;6122;
2018-06-18;417,70;417,90;422,80;430,40;416,90;418,00;422,669;876522;370474825,54;6630;
2018-06-15;419,40;419,70;413,50;422,80;412,20;419,40;419,021;1083095;453838881,65;5015;
2018-06-14;413,30;413,50;410,90;417,20;408,20;414,20;413,33;649599;268494020,4;4249;
2018-06-13;410,80;411,10;413,30;417,00;410,20;411,20;411,942;598533;246568164,3;4099;
2018-06-12;412,90;413,10;416,90;418,80;411,00;413,20;413,176;556538;229949427,8;2977;
2018-06-11;416,10;416,30;410,00;416,50;407,30;415,90;412,536;573258;236474107,2;4073;
2018-06-08;408,30;408,60;412,00;415,60;407,60;407,60;410,744;660098;271155591,74;4514;
2018-06-07;412,50;412,70;418,10;420,60;412,10;412,40;415,094;519037;215455868,05;3929;
2018-06-06;416,00;416,20;420,70;426,50;414,30;416,40;418,49;640439;268025278,79;4274;
2018-06-04;420,00;420,10;427,00;429,00;418,50;420,10;423,282;662618;280447054,19;5601;
2018-06-01;422,90;423,20;417,80;427,50;414,20;423,80;422,896;695525;294132942,5;4901;
2018-05-31;415,70;415,90;415,20;420,00;412,20;417,50;416,94;1533639;639434997,95;5233;
2018-05-30;411,70;411,90;412,60;414,50;409,20;411,50;411,186;757386;311389129,55;3970;
2018-05-29;414,10;414,40;418,00;418,20;410,40;413,20;413,449;761841;314983364,25;5325;
2018-05-28;418,50;418,70;430,50;432,40;418,10;418,20;421,712;693182;292330607,16;5384;
2018-05-25;429,70;430,00;425,00;435,40;422,80;429,20;430,818;660629;284615470,91;5470;
2018-05-24;430,10;430,40;442,00;445,60;428,50;429,10;434,439;671963;291937909,3;4405;
2018-05-23;442,50;442,70;452,80;453,00;442,20;442,20;444,498;737237;327778124,09;4738;
2018-05-22;453,60;453,80;455,00;455,70;449,70;453,60;453,109;644687;292112505,29;4490;
2018-05-18;451,30;451,50;453,00;453,50;448,20;450,80;450,785;845415;381101517,3;5395;
2018-05-17;451,90;452,10;437,10;453,00;434,50;453,00;447,789;1416720;634368451,61;8152;
2018-05-16;438,10;438,20;434,20;439,80;433,70;437,80;437,511;769837;336813699,85;4615;
2018-05-15;437,50;437,80;432,10;438,70;430,30;437,50;435,896;1089926;474773948,17;6094;
2018-05-14;437,40;437,60;440,90;440,90;431,50;437,40;437,128;1143044;499648879,22;7517;
2018-05-09;439,10;439,40;434,40;440,90;429,00;440,10;436,981;1219785;533019656,4;8148;
2018-05-08;433,30;433,50;432,00;445,40;431,50;434,80;438,116;1829043;801460360,27;13157;
2018-05-07;431,20;431,40;414,00;432,60;413,60;432,00;427,924;1599275;684345775,15;9957;
2018-05-04;414,90;415,20;400,00;415,70;391,60;413,60;403,667;3762566;1518815481,1;28798;
2018-05-03;410,60;410,80;412,90;417,80;408,50;412,20;411,711;949134;390807066,05;7172;
2018-05-02;410,70;411,00;406,00;414,60;405,00;410,60;411,113;938965;386018111,81;6621;
2018-05-01;403,50;403,70;401,00;411,90;400,70;404,00;407,066;642217;261417187,14;5141;
2018-04-30;399,30;399,40;405,00;405,50;398,10;400,20;400,605;1462174;585744353,45;7305;
2018-04-26;407,60;407,80;407,50;411,80;404,70;408,10;408,822;637799;260744984,84;4385;
2018-04-25;406,70;406,90;401,00;407,90;400,20;406,90;406,293;670471;272413134,6;5712;
2018-04-24;405,00;405,10;414,00;414,70;402,90;405,00;406,617;1089895;443097686,98;8536;
2018-04-23;411,50;411,60;414,00;414,00;407,80;412,70;411,389;1133671;466479086,42;7327;
2018-04-20;410,80;411,00;414,20;419,60;407,30;411,00;412,102;1309688;539722851,5;8476;
2018-04-19;416,60;416,90;410,70;418,20;410,20;416,20;415,823;735872;305991016,56;5698;
2018-04-18;410,80;411,20;407,40;412,60;406,00;410,00;409,499;383044;156870456,83;2471;
2018-04-17;410,90;411,10;417,90;419,00;405,20;411,30;411,186;1244570;511747181,04;9563;
2018-04-16;417,10;417,20;416,90;421,20;415,50;417,00;417,442;679139;283500686,15;5097;
2018-04-13;415,30;415,60;414,30;424,00;414,00;415,30;418,82;774392;324332914,35;6181;
2018-04-12;412,60;412,90;420,00;422,30;411,40;412,60;415,114;1245521;517007508,95;7919;
2018-04-11;419,00;419,30;433,00;433,00;418,50;419,30;423,606;1209252;512241087,8;9489;
2018-04-10;432,40;432,70;438,90;440,10;428,50;432,50;432,968;981547;424965953;7203;
2018-04-09;436,60;436,80;437,20;443,20;434,60;437,50;437,662;758414;331927430,2;6265;
2018-04-06;436,20;436,50;428,20;437,20;427,50;435,90;433,882;1151779;499735539,65;9029;
2018-04-05;428,10;428,20;427,30;428,80;421,60;428,80;425,631;801059;340956410,73;6116;
2018-04-04;422,40;422,50;433,50;433,50;418,60;422,40;423,393;2120685;897858986,7;17422;
2018-04-03;442,60;442,90;442,90;444,00;433,00;444,00;439,327;1434724;630199669,8;10437;
2018-03-28;429,40;429,70;433,50;436,30;426,50;429,80;430,306;1351762;581675241,57;9979;
2018-03-27;435,00;435,30;445,00;446,30;433,40;436,40;440,884;1141672;503350008,35;8372;
2018-03-26;439,60;439,80;437,20;446,20;436,30;440,70;441,602;1028242;454072574,68;7396;
2018-03-23;435,90;436,10;431,00;437,00;425,70;436,80;431,562;950987;410403351,57;7340;
2018-03-22;436,80;437,10;444,30;448,00;432,40;437,50;438,848;1029025;451582050,7;7775;
2018-03-21;445,00;445,20;443,00;447,90;440,20;445,00;444,824;804216;357729351,8;6250;
2018-03-20;443,00;443,20;433,00;443,50;433,00;443,00;439,598;997279;438391855,67;7563;
2018-03-19;432,80;432,90;429,30;435,40;426,30;432,70;431,304;676737;291878989,7;5871;
2018-03-16;429,60;429,80;434,00;436,40;429,40;429,40;430,933;1216019;524023296,25;4796;
2018-03-15;433,50;433,90;440,30;440,80;431,40;434,30;433,994;990832;430016692,7;7653;
2018-03-14;439,30;439,50;428,50;439,90;428,40;439,90;436,816;1437181;627327615,55;6558;
2018-03-13;428,60;428,80;431,70;435,60;425,10;428,60;430,613;1050084;452179324,3;7275;
2018-03-12;431,40;431,60;433,00;438,60;431,20;432,50;433,74;636336;276005104;5532;
2018-03-09;431,90;432,10;440,70;440,70;428,70;431,50;432,00;915912;395674284,7;7722;
2018-03-08;440,40;440,70;436,50;442,90;431,70;440,00;438,71;876637;384591112,05;7380;
2018-03-07;435,40;435,60;429,90;437,10;425,90;435,90;432,209;1011032;436618444,4;7420;
2018-03-06;433,70;433,80;436,30;438,60;430,00;433,10;434,58;808033;351152646,35;7521;
2018-03-05;430,80;430,90;426,50;433,40;425,40;431,10;430,653;786701;338795754,45;6372;
2018-03-02;429,80;430,20;440,00;440,00;428,70;428,70;433,88;907086;393566785,25;6993;
2018-03-01;443,80;444,00;443,40;450,00;441,90;442,50;444,86;1166469;518614650,65;7022;
2018-02-28;444,20;444,50;447,60;449,20;442,50;443,60;445,05;941887;419217902,78;7317;
2018-02-27;448,10;448,20;449,00;452,90;444,50;449,10;449,587;1112803;500301852,56;8206;
2018-02-26;447,80;448,00;450,00;457,30;445,90;448,20;449,716;890390;400418030,45;6957;
2018-02-23;446,60;446,80;443,30;450,30;440,00;447,00;445,994;739657;329881588,9;5413;
2018-02-22;442,00;442,40;441,60;444,30;435,60;442,40;439,918;809266;356010534,09;6655;
2018-02-21;442,30;442,50;445,60;448,00;439,60;443,20;442,78;1170087;518098123,17;7519;
2018-02-20;446,80;446,90;429,70;452,20;428,90;447,00;443,551;1865105;827380764,58;11675;
2018-02-19;430,10;430,30;426,40;431,20;424,20;429,70;428,821;488987;209688672,26;3555;
2018-02-16;426,90;427,20;430,00;431,70;422,30;426,40;427,255;928662;396774953,56;7021;
2018-02-15;424,80;425,10;431,30;434,10;424,70;425,00;428,683;1039051;445299761,26;8066;
2018-02-14;429,50;429,70;422,00;432,60;417,00;430,00;428,734;1172488;502728746,5;8544;
2018-02-13;422,90;423,20;431,20;431,70;421,40;422,20;425,395;1182811;503159136,6;10103;
2018-02-12;431,30;431,60;431,00;436,30;427,50;430,30;431,907;1186070;512259329,9;9280;
2018-02-09;428,60;428,90;408,00;430,80;406,90;428,90;425,177;2473147;1051503973,4;18526;
2018-02-08;412,50;412,80;425,00;425,00;411,70;412,50;416,485;1609965;670519133,95;12560;
2018-02-07;421,70;422,00;409,00;435,00;399,20;422,30;418,388;4240169;1772507863,57;32806;
2018-02-06;408,00;408,40;380,50;409,70;377,20;405,40;399,587;2384017;952630278,2;17783;
2018-02-05;401,30;401,50;401,80;401,90;392,40;400,50;398,723;1395351;556254243,5;9565;
2018-02-02;404,90;405,30;411,20;413,60;400,90;404,20;404,758;1531605;622881499,4;8683;
2018-02-01;412,30;412,50;410,80;419,60;408,10;412,40;413,885;1060857;439077134,95;8414;
2018-01-31;409,20;409,40;417,00;417,00;407,10;409,00;409,517;1178768;482724583,6;9180;
2018-01-30;413,70;413,90;395,00;428,70;391,00;413,60;415,547;2678132;1113080465,78;18163;
2018-01-29;397,50;397,70;404,00;407,10;397,30;397,50;401,569;1319892;530029993,8;10447;
2018-01-26;401,60;401,80;409,50;412,50;400,50;402,10;406,532;1458704;593012359,3;11395;
2018-01-25;406,10;406,20;422,20;422,60;402,30;406,00;412,176;2201295;907321148,47;18185;
2018-01-24;423,80;424,00;441,30;442,90;423,30;423,70;430,121;1831933;789324533,79;12160;
2018-01-23;440,70;440,90;441,00;444,90;435,60;440,40;441,226;1176976;519313287,39;8465;
2018-01-22;438,30;438,60;433,80;440,10;427,00;438,70;435,073;1012713;440598598,7;8277;
2018-01-19;431,70;431,90;440,20;443,20;431,30;432,30;436,191;1010801;440903724,1;7667;
2018-01-18;439,20;439,40;439,00;443,90;435,50;440,10;441,072;1372414;605333464,65;8541;
2018-01-17;437,90;438,20;440,90;441,00;436,40;438,40;438,525;1213206;532019859,85;9169;
2018-01-16;441,20;441,50;436,70;445,60;435,90;441,20;442,047;1304094;576462725,78;8967;
2018-01-15;435,90;436,20;427,70;438,70;425,60;436,70;433,963;1188593;515805715,9;8356;
2018-01-12;426,90;427,00;422,20;429,90;417,70;427,50;425,739;1262974;537695254,85;8442;
2018-01-11;420,10;420,30;424,10;424,20;415,60;420,30;419,322;1886490;791021860,47;12181;
