sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-08-24;257,00;257,20;258,40;259,00;253,40;257,40;256,331;528556;135470700,42;2681;
2018-08-23;258,20;258,60;260,00;263,60;256,20;257,80;259,037;483981;125373115,6;2874;
2018-08-22;260,60;260,80;256,00;260,80;254,60;259,80;258,263;564366;145751584,8;3055;
2018-08-21;257,00;257,20;257,00;259,40;255,80;256,20;257,279;397095;102168391,2;2021;
2018-08-20;259,80;260,00;262,80;264,00;255,40;259,00;258,818;670334;173496241,51;3967;
2018-08-17;260,60;261,00;262,00;266,00;255,80;260,80;259,62;716647;186054338,11;4137;
2018-08-16;264,80;265,00;262,00;267,80;259,80;265,80;264,367;948973;250896815,17;4799;
2018-08-15;261,20;261,40;273,00;278,00;259,80;259,80;267,547;2028232;542764688,8;11127;
2018-08-14;294,20;294,60;294,40;298,80;293,00;293,20;294,832;622951;183648349,3;3866;
2018-08-13;291,40;291,60;289,00;294,60;287,40;292,00;291,831;443435;129409634,4;3597;
2018-08-10;290,20;290,40;290,00;294,20;287,80;290,00;290,876;821709;239016447,6;4988;
2018-08-09;291,20;291,40;291,00;296,00;290,40;292,00;292,77;721094;211117744,3;6509;
2018-08-08;292,20;292,60;302,40;303,80;291,40;292,00;295,062;840606;248134382,7;5091;
2018-08-07;302,80;303,20;303,80;307,60;303,00;303,80;304,989;448767;136902250,6;3256;
2018-08-06;303,00;303,20;305,40;308,00;303,20;303,40;304,724;379789;115736172,8;2847;
2018-08-03;306,20;306,60;306,40;308,60;304,20;305,20;305,974;401634;122893186,7;2845;
2018-08-02;310,40;310,60;302,40;311,20;301,60;309,40;307,555;460323;141568016;2696;
2018-08-01;303,40;303,60;304,40;307,80;301,20;303,80;303,925;528146;160520964,6;3562;
2018-07-31;306,00;306,20;315,60;315,60;304,00;304,60;306,138;583383;178600046;3176;
2018-07-30;314,40;314,80;315,00;317,80;314,00;315,00;315,392;219142;69115346,6;1764;
2018-07-27;315,40;315,80;315,00;318,60;313,60;316,20;316,356;190992;60422363,1;1455;
2018-07-26;314,40;314,80;315,20;316,60;310,40;315,20;314,20;298678;93841565,2;2013;
2018-07-25;311,00;311,40;303,00;311,60;302,40;311,40;309,049;221472;68441212,7;1707;
2018-07-24;304,60;305,00;304,20;307,20;302,60;305,60;305,296;230286;70303994,36;1697;
2018-07-23;302,20;302,40;302,00;302,40;298,20;302,40;301,097;172385;51903011,4;1399;
2018-07-20;301,60;301,80;297,20;302,80;297,20;302,40;301,306;288437;86905473,3;2141;
2018-07-19;296,20;296,60;296,40;298,00;291,80;295,80;295,325;232842;68763497;1837;
2018-07-18;293,60;294,00;293,20;297,00;292,80;294,60;294,732;276278;81427921,46;1814;
2018-07-17;292,40;292,80;289,00;293,00;288,20;293,00;291,501;310424;90484923,9;1875;
2018-07-16;289,20;289,40;291,00;293,40;288,60;288,60;290,34;260563;75656710,5;1641;
2018-07-13;290,20;290,60;288,40;292,60;286,80;291,00;290,102;424604;123171624,2;2516;
2018-07-12;287,40;287,80;278,00;288,20;277,80;288,20;284,068;425202;120759922,2;2655;
2018-07-11;276,20;276,40;275,20;277,20;272,80;277,20;276,124;403154;111316708,2;2136;
2018-07-10;276,60;277,00;271,00;278,20;269,40;278,00;276,458;581886;160848929,5;3203;
2018-07-09;267,00;267,40;268,00;270,20;266,60;267,60;268,075;286154;76712712,1;2249;
2018-07-06;266,60;266,80;256,20;273,00;256,20;268,00;267,066;835767;223191746,1;4329;
2018-07-05;254,60;254,80;253,60;256,20;253,60;255,40;255,027;323781;82568583,2;1802;
2018-07-04;253,40;253,80;253,00;258,00;253,00;254,40;254,94;560382;142797924,25;2293;
2018-07-03;254,00;254,40;254,60;258,60;253,60;253,80;254,327;431817;109824632,4;2326;
2018-07-02;253,20;253,40;255,20;255,20;252,60;253,60;253,649;350498;88904524,03;2132;
2018-06-29;257,20;257,40;257,20;258,00;254,40;256,80;257,003;353380;90819099,6;1894;
2018-06-28;253,00;253,40;256,40;259,00;252,00;254,20;255,308;374993;95743382,2;2599;
2018-06-27;256,60;256,80;252,20;258,80;251,00;257,60;255,755;561995;143722466,4;3042;
2018-06-26;253,40;253,80;253,80;255,00;251,60;253,00;253,401;477273;120943610,62;2643;
2018-06-25;254,20;254,40;257,00;259,60;253,40;253,40;256,254;348991;89437726,7;1901;
2018-06-22;256,20;256,60;255,60;256,80;254,40;256,40;255,919;252628;64652067,4;1343;
2018-06-21;254,00;254,20;255,80;256,80;253,00;254,00;254,485;422426;107508077,7;2290;
2018-06-20;252,60;252,80;248,80;253,00;247,80;253,00;251,345;425437;106908575,21;2016;
2018-06-19;246,80;247,20;250,80;251,40;246,80;246,80;248,236;551731;136961763,6;2276;
2018-06-18;252,20;252,60;255,60;256,00;250,80;252,60;252,368;423667;106920151,56;2161;
2018-06-15;256,60;257,00;258,40;260,20;254,60;256,60;256,814;647831;166372432,3;2672;
2018-06-14;259,40;259,80;253,20;261,60;253,20;258,40;258,073;710544;183367973,7;4026;
2018-06-13;252,40;252,60;244,40;252,80;244,20;252,80;250,804;548911;137663784,8;2389;
2018-06-12;243,20;243,40;244,40;250,40;243,20;244,20;245,812;528214;129845303,71;2657;
2018-06-11;244,20;244,60;242,20;245,20;242,20;244,00;244,031;258568;63098500,66;1278;
2018-06-08;242,20;242,60;239,40;243,60;237,00;241,80;241,872;409278;98989634,7;1862;
2018-06-07;239,60;239,80;241,20;242,60;239,60;240,00;240,668;383631;92333114,5;1844;
2018-06-06;239,60;240,00;236,00;244,80;235,80;240,40;241,666;719738;173996294,93;3438;
2018-06-04;233,60;234,00;232,60;235,80;232,60;234,40;234,459;407847;95623110,4;2183;
2018-06-01;231,60;231,80;232,40;234,20;229,00;231,20;231,83;447052;103637414,2;2277;
2018-05-31;231,80;232,00;233,80;235,40;231,60;231,80;232,176;2418921;561620820,1;3153;
2018-05-30;232,80;233,20;231,20;233,80;231,00;233,20;232,755;429820;100038911;1903;
2018-05-29;232,00;232,20;231,20;232,80;229,20;232,20;231,309;472330;109252918,5;2115;
2018-05-28;231,60;231,80;234,60;234,80;231,20;232,20;232,688;367318;85471311,3;1474;
2018-05-25;233,60;233,80;231,60;235,60;230,20;234,20;234,13;422694;98963280,4;2111;
2018-05-24;230,20;230,60;231,40;234,80;229,00;230,80;232,285;499462;116024078,5;2367;
2018-05-23;228,80;229,20;227,00;229,80;224,80;229,60;228,47;555389;126858427,8;2447;
2018-05-22;227,00;227,20;232,60;233,00;226,60;227,00;227,899;760347;173285966;3605;
2018-05-18;231,40;231,60;233,20;234,40;231,20;231,60;232,297;379315;88114136,7;1907;
2018-05-17;233,00;233,20;232,00;233,80;229,80;233,60;232,566;421022;97913332,2;2099;
2018-05-16;230,80;231,00;230,40;234,00;225,60;231,40;230,909;855371;197424355,7;3999;
2018-05-15;230,80;231,20;233,60;235,00;229,40;231,00;231,697;876484;203078147,3;4632;
2018-05-14;233,80;234,20;239,80;241,80;231,00;234,00;234,736;853160;200271186,7;4246;
2018-05-09;236,80;237,00;234,80;239,80;234,00;237,60;237,186;733499;173973095,6;4385;
2018-05-08;232,20;232,60;245,00;245,00;227,60;233,00;233,599;2074161;484520904,8;11624;
2018-05-07;256,60;257,20;246,40;258,00;246,40;257,40;254,185;595203;151283947,4;2921;
2018-05-04;244,60;244,80;244,00;248,40;244,00;245,20;245,791;330806;81309892,5;1874;
2018-05-03;243,00;243,40;243,80;247,00;243,20;243,80;244,832;395318;96783596,77;2596;
2018-05-02;243,40;243,60;244,80;247,80;239,20;243,60;242,073;837490;202717708,7;4417;
2018-05-01;245,80;246,00;240,80;247,80;240,80;246,00;245,452;194002;47617543,11;1053;
2018-04-30;240,80;241,00;242,40;243,20;238,80;241,20;240,887;489826;117989471,9;2243;
2018-04-26;242,40;242,60;232,80;243,20;231,80;242,20;239,594;518770;124291858,35;3208;
2018-04-25;233,00;233,40;235,00;235,80;232,20;233,40;234,019;309038;72320528,1;1934;
2018-04-24;235,00;235,40;236,60;237,00;233,40;235,40;235,306;471452;110944496;2425;
2018-04-23;235,40;235,80;236,60;237,20;234,80;236,20;235,868;265558;62636673,2;1423;
2018-04-20;235,60;236,00;235,00;236,40;232,20;235,80;234,501;391103;91714307,9;2409;
2018-04-19;234,20;234,40;238,20;238,60;233,00;234,80;234,757;301311;70733230,8;1540;
2018-04-18;237,00;237,40;235,40;238,00;234,40;238,00;236,976;217933;51561926,2;782;
2018-04-17;234,20;234,60;230,60;234,80;229,20;234,60;233,646;552097;128995552,2;3155;
