Navn;Type;SognNavn;SognKode;KommuneNavn;KommuneKode;RegionNavn;RegionKode;Kopieringsdato
Abbetved;By;Kirke Såby;7175;Lejre;350;Region Sjælland;1085;23. maj 2013
Abed;By;Stokkemarke;7639;Lolland;360;Region Sjælland;1085;23. maj 2013
Abelshoved;Pynt;Sankt Pauls;8118;Aarhus;751;Region Midtjylland;1082;23. maj 2013
Abild;By;Abild;9041;Tønder;550;Region Syddanmark;1083;23. maj 2013
Abild;Sogn;NULL;;Tønder;550;Region Syddanmark;1083;23. maj 2013
Abild Mark;Spredt bebyggelse;Abild;9041;Tønder;550;Region Syddanmark;1083;23. maj 2013
Abildgård;Anden større gård/Proprietærgård;Fjelstrup;8982;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Abildgård;Sogn;NULL;;Frederikshavn;813;Region Nordjylland;1081;23. maj 2013
Abildgård Mark;Spredt bebyggelse;Grurup;8688;Thisted;787;Region Nordjylland;1081;23. maj 2013
Abildgårde;Spredt bebyggelse;Øster Hornum;8334;Rebild;840;Region Nordjylland;1081;23. maj 2013
Abildhave;Spredt bebyggelse;Østerild;8646;Thisted;787;Region Nordjylland;1081;23. maj 2013
Abildhede;By;Øse;8910;Varde;573;Region Syddanmark;1083;23. maj 2013
Abildholt;By;Borbjerg;8821;Holstebro;661;Region Midtjylland;1082;23. maj 2013
Abildkær;Hede;Østerild;8646;Thisted;787;Region Nordjylland;1081;23. maj 2013
Abildkær;Hede;Hunstrup;8645;Thisted;787;Region Nordjylland;1081;23. maj 2013
Abildro;By;Skovby;7857;Nordfyns;480;Region Syddanmark;1083;23. maj 2013
Abildskov;By;Funder;8611;Silkeborg;740;Region Midtjylland;1082;23. maj 2013
Abildskov;Spredt bebyggelse;Nørre Broby;7754;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Abildtorpe;Spredt bebyggelse;Stormark;7672;Lolland;360;Region Sjælland;1085;23. maj 2013
Abildtrup;Spredt bebyggelse;Vorgod;8766;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Abildøre;By;Egebjerg;7264;Odsherred;306;Region Sjælland;1085;23. maj 2013
Abildå;By;Ørnhøj;9167;Herning;657;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Ørnhøj;9167;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Ørnhøj;9167;Herning;657;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Timring;8796;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Timring;8796;Herning;657;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Videbæk;8769;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Videbæk;8769;Herning;657;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Brejning;8755;Herning;657;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Vorgod;8766;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Vorgod;8766;Herning;657;Region Midtjylland;1082;23. maj 2013
Abildå;Bæk;Brejning;8755;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Abkær;By;Vedsted;8980;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Abkær Mose;Mose/Sump;Vedsted;8980;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Aborg;By;Gamtofte;7804;Assens;420;Region Syddanmark;1083;23. maj 2013
Aborg Minde;Spredt bebyggelse;Gamtofte;7804;Assens;420;Region Syddanmark;1083;23. maj 2013
Aborg Minde;Sø ID;Sandager;7808;Assens;420;Region Syddanmark;1083;23. maj 2013
Aborrebjerg;Bakke;Magleby;7489;Vordingborg;390;Region Sjælland;1085;23. maj 2013
Abterp;By;Brede;9047;Tønder;550;Region Syddanmark;1083;23. maj 2013
Adamsgave;Anden større gård/Proprietærgård;Branderslev;7671;Lolland;360;Region Sjælland;1085;23. maj 2013
Adamshøj;By;Kværkeby;7370;Ringsted;329;Region Sjælland;1085;23. maj 2013
Adbøl;Spredt bebyggelse;Vestervig;8648;Thisted;787;Region Nordjylland;1081;23. maj 2013
Addit;By;Sønder Vissing;7989;Horsens;615;Region Midtjylland;1082;23. maj 2013
Adeleng;Ager/Mark;Janderup;8874;Varde;573;Region Syddanmark;1083;23. maj 2013
Adeleng;Ager/Mark;Varde;8873;Varde;573;Region Syddanmark;1083;23. maj 2013
